Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 10, 'attack_strength': -1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 19:19:29 2024]======================
Epoch: 1 | Epoch Time: 1m 3s
Train Loss: 2.2974492868041994 | Train Acc: 16.274000704288483%
Test Loss: 2.2974972473144533 | Test Acc: 16.429999470710754%
Epoch: 2 | Epoch Time: 1m 4s
Train Loss: 2.2830031048583983 | Train Acc: 17.316000163555145%
Test Loss: 2.2829990798950197 | Test Acc: 17.389999330043793%
Epoch: 3 | Epoch Time: 1m 3s
Train Loss: 2.2572873901367188 | Train Acc: 19.803999364376068%
Test Loss: 2.257128968811035 | Test Acc: 20.229999721050262%
Epoch: 4 | Epoch Time: 1m 2s
Train Loss: 2.2215755343627928 | Train Acc: 23.175999522209167%
Test Loss: 2.221118357849121 | Test Acc: 23.479999601840973%
Epoch: 5 | Epoch Time: 1m 3s
Train Loss: 2.1925520275878907 | Train Acc: 23.931999504566193%
Test Loss: 2.1912981384277344 | Test Acc: 24.230000376701355%
Epoch: 6 | Epoch Time: 1m 2s
Train Loss: 2.1448674865722657 | Train Acc: 27.296000719070435%
Test Loss: 2.1431746704101564 | Test Acc: 27.129998803138733%
Epoch: 7 | Epoch Time: 1m 2s
Train Loss: 2.088072534790039 | Train Acc: 30.489999055862427%
Test Loss: 2.08639948425293 | Test Acc: 30.790001153945923%
Epoch: 8 | Epoch Time: 1m 0s
Train Loss: 2.038276248779297 | Train Acc: 31.242001056671143%
Test Loss: 2.036409748840332 | Test Acc: 30.93000054359436%
Epoch: 9 | Epoch Time: 1m 3s
Train Loss: 1.9935345568847656 | Train Acc: 31.907999515533447%
Test Loss: 1.9917630325317384 | Test Acc: 31.920000910758972%
Epoch: 10 | Epoch Time: 1m 3s
Train Loss: 1.9639504077148437 | Train Acc: 33.05799961090088%
Test Loss: 1.9616698806762696 | Test Acc: 32.62999951839447%
Epoch: 11 | Epoch Time: 1m 2s
Train Loss: 1.920572508544922 | Train Acc: 33.80599915981293%
Test Loss: 1.91814912109375 | Test Acc: 33.7799996137619%
Epoch: 12 | Epoch Time: 1m 2s
Train Loss: 1.8761703048706055 | Train Acc: 34.689998626708984%
Test Loss: 1.8736624404907227 | Test Acc: 34.83000099658966%
Epoch: 13 | Epoch Time: 1m 2s
Train Loss: 1.8450778787231445 | Train Acc: 36.14799976348877%
Test Loss: 1.8428225616455078 | Test Acc: 36.5200012922287%
Epoch: 14 | Epoch Time: 1m 3s
Train Loss: 1.8073826205444337 | Train Acc: 37.342000007629395%
Test Loss: 1.806094076538086 | Test Acc: 37.56999969482422%
Epoch: 15 | Epoch Time: 1m 4s
Train Loss: 1.772045578918457 | Train Acc: 37.91399896144867%
Test Loss: 1.7702700958251953 | Test Acc: 38.5699987411499%
Epoch: 16 | Epoch Time: 1m 2s
Train Loss: 1.7468440908813476 | Train Acc: 38.047999143600464%
Test Loss: 1.7457984619140625 | Test Acc: 38.22000026702881%
Epoch: 17 | Epoch Time: 1m 3s
Train Loss: 1.7283018905639649 | Train Acc: 37.67000138759613%
Test Loss: 1.7277383743286132 | Test Acc: 37.380000948905945%
Epoch: 18 | Epoch Time: 1m 3s
Train Loss: 1.7029921923828124 | Train Acc: 38.45199942588806%
Test Loss: 1.7028303512573242 | Test Acc: 38.06999921798706%
Epoch: 19 | Epoch Time: 1m 2s
Train Loss: 1.6726539605712891 | Train Acc: 39.30799961090088%
Test Loss: 1.6741702621459962 | Test Acc: 39.12000060081482%
Epoch: 20 | Epoch Time: 1m 3s
Train Loss: 1.6583887719726562 | Train Acc: 39.809998869895935%
Test Loss: 1.6609356353759765 | Test Acc: 39.35000002384186%
Epoch: 21 | Epoch Time: 1m 0s
Train Loss: 1.6487173861694335 | Train Acc: 39.83199894428253%
Test Loss: 1.6512421600341798 | Test Acc: 39.6699994802475%
Epoch: 22 | Epoch Time: 1m 1s
Train Loss: 1.6356101837158203 | Train Acc: 40.417999029159546%
Test Loss: 1.6399496719360351 | Test Acc: 39.95000123977661%
Epoch: 23 | Epoch Time: 1m 1s
Train Loss: 1.6288041000366211 | Train Acc: 40.685999393463135%
Test Loss: 1.6340757843017577 | Test Acc: 40.230000019073486%
Epoch: 24 | Epoch Time: 1m 2s
Train Loss: 1.620878116760254 | Train Acc: 41.11799895763397%
Test Loss: 1.627013639831543 | Test Acc: 40.75999855995178%
Epoch: 25 | Epoch Time: 1m 0s
Train Loss: 1.6105189569091798 | Train Acc: 41.69999957084656%
Test Loss: 1.6184955520629882 | Test Acc: 40.88999927043915%
Epoch: 26 | Epoch Time: 1m 1s
Train Loss: 1.6171547241210937 | Train Acc: 41.76400005817413%
Test Loss: 1.6263272994995117 | Test Acc: 41.06999933719635%
Epoch: 27 | Epoch Time: 1m 4s
Train Loss: 1.612121413269043 | Train Acc: 42.21599996089935%
Test Loss: 1.6242408416748046 | Test Acc: 41.33999943733215%
Epoch: 28 | Epoch Time: 1m 5s
Train Loss: 1.6211215493774414 | Train Acc: 41.958001255989075%
Test Loss: 1.6339660903930664 | Test Acc: 41.42000079154968%
Epoch: 29 | Epoch Time: 0m 57s
Train Loss: 1.6317705528259276 | Train Acc: 42.1860009431839%
Test Loss: 1.6470899291992187 | Test Acc: 41.4900004863739%
Epoch: 30 | Epoch Time: 1m 1s
Train Loss: 1.6356502462768554 | Train Acc: 42.353999614715576%
Test Loss: 1.65459697265625 | Test Acc: 41.78000092506409%
Epoch: 31 | Epoch Time: 1m 3s
Train Loss: 1.6379485304260253 | Train Acc: 42.44000017642975%
Test Loss: 1.6599732162475587 | Test Acc: 41.62999987602234%
Epoch: 32 | Epoch Time: 1m 1s
Train Loss: 1.650095235900879 | Train Acc: 42.4019992351532%
Test Loss: 1.675286979675293 | Test Acc: 41.5800005197525%
Epoch: 33 | Epoch Time: 0m 59s
Train Loss: 1.649562508544922 | Train Acc: 42.778000235557556%
Test Loss: 1.6767781677246094 | Test Acc: 41.760000586509705%
Epoch: 34 | Epoch Time: 1m 2s
Train Loss: 1.6807405841064453 | Train Acc: 42.54400134086609%
Test Loss: 1.7120749710083007 | Test Acc: 41.6700005531311%
Epoch: 35 | Epoch Time: 1m 1s
Train Loss: 1.704971121673584 | Train Acc: 42.62399971485138%
Test Loss: 1.7375215209960937 | Test Acc: 41.429999470710754%
Epoch: 36 | Epoch Time: 1m 3s
Train Loss: 1.7360401902770997 | Train Acc: 42.82599985599518%
Test Loss: 1.771816781616211 | Test Acc: 41.60999953746796%
Epoch: 37 | Epoch Time: 1m 4s
Train Loss: 1.77249674118042 | Train Acc: 42.86800026893616%
Test Loss: 1.810234373474121 | Test Acc: 41.87999963760376%
Epoch: 38 | Epoch Time: 1m 1s
Train Loss: 1.8041049967956544 | Train Acc: 43.06400120258331%
Test Loss: 1.8447711044311523 | Test Acc: 42.10000038146973%
Epoch: 39 | Epoch Time: 1m 2s
Train Loss: 1.836398365020752 | Train Acc: 43.00000071525574%
Test Loss: 1.8787608825683593 | Test Acc: 42.03999936580658%
Epoch: 40 | Epoch Time: 1m 5s
Train Loss: 1.8848829391479491 | Train Acc: 43.13200116157532%
Test Loss: 1.9295055938720702 | Test Acc: 42.14999973773956%
Epoch: 41 | Epoch Time: 1m 1s
Train Loss: 1.9230396575927735 | Train Acc: 43.070000410079956%
Test Loss: 1.9697894912719727 | Test Acc: 42.30000078678131%
Epoch: 42 | Epoch Time: 1m 3s
Train Loss: 1.9822206106567384 | Train Acc: 43.116000294685364%
Test Loss: 2.031721147155762 | Test Acc: 42.289999127388%
Epoch: 43 | Epoch Time: 1m 1s
Train Loss: 1.8838860845947265 | Train Acc: 41.86199903488159%
Test Loss: 1.929649774169922 | Test Acc: 40.860000252723694%
Epoch: 44 | Epoch Time: 1m 8s
Train Loss: 1.8554797039794921 | Train Acc: 41.35200083255768%
Test Loss: 1.897901057434082 | Test Acc: 40.63999950885773%
Epoch: 45 | Epoch Time: 1m 5s
Train Loss: 1.8646418353271483 | Train Acc: 41.26800000667572%
Test Loss: 1.9069434463500976 | Test Acc: 40.25999903678894%
Epoch: 46 | Epoch Time: 1m 8s
Train Loss: 1.9246292980957032 | Train Acc: 41.65000021457672%
Test Loss: 1.9699462768554687 | Test Acc: 40.720000863075256%
Epoch: 47 | Epoch Time: 1m 2s
Train Loss: 2.0013666683959963 | Train Acc: 41.92799925804138%
Test Loss: 2.0499823608398438 | Test Acc: 40.97000062465668%
Epoch: 48 | Epoch Time: 1m 8s
Train Loss: 2.0789119161987304 | Train Acc: 41.98800027370453%
Test Loss: 2.1292743362426756 | Test Acc: 40.97999930381775%
Epoch: 49 | Epoch Time: 1m 8s
Train Loss: 2.1596062133789062 | Train Acc: 42.12400019168854%
Test Loss: 2.2132602920532225 | Test Acc: 41.280001401901245%
Epoch: 50 | Epoch Time: 1m 7s
Train Loss: 2.243212537536621 | Train Acc: 42.28200018405914%
Test Loss: 2.300021824645996 | Test Acc: 41.3100004196167%
Epoch: 51 | Epoch Time: 1m 7s
Train Loss: 2.3241419299316406 | Train Acc: 42.3799991607666%
Test Loss: 2.3834476440429686 | Test Acc: 41.510000824928284%
Epoch: 52 | Epoch Time: 1m 3s
Train Loss: 2.401309118347168 | Train Acc: 42.49599874019623%
Test Loss: 2.4631895309448244 | Test Acc: 41.65999889373779%
Epoch: 53 | Epoch Time: 1m 4s
Train Loss: 2.473632180786133 | Train Acc: 42.50200092792511%
Test Loss: 2.5382528060913088 | Test Acc: 41.44999980926514%
Epoch: 54 | Epoch Time: 1m 5s
Train Loss: 2.545290478210449 | Train Acc: 42.52200126647949%
Test Loss: 2.6121288940429688 | Test Acc: 41.33999943733215%
Epoch: 55 | Epoch Time: 1m 7s
Train Loss: 2.616370029907227 | Train Acc: 42.54800081253052%
Test Loss: 2.684893061828613 | Test Acc: 41.40999913215637%
Epoch: 56 | Epoch Time: 1m 8s
Train Loss: 2.682319264526367 | Train Acc: 42.56199896335602%
Test Loss: 2.752533004760742 | Test Acc: 41.46000146865845%
Epoch: 57 | Epoch Time: 1m 7s
Train Loss: 2.7454909451293945 | Train Acc: 42.541998624801636%
Test Loss: 2.817250833129883 | Test Acc: 41.42000079154968%
Epoch: 58 | Epoch Time: 1m 7s
