Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 6, 'attack_strength': -1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 14:25:36 2024]======================
Epoch: 1 | Epoch Time: 0m 48s
Train Loss: 2.30005533203125 | Train Acc: 10.000000149011612%
Test Loss: 2.2999875610351563 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 49s
Train Loss: 2.29666366027832 | Train Acc: 10.462000221014023%
Test Loss: 2.2965737228393555 | Test Acc: 10.520000010728836%
Epoch: 3 | Epoch Time: 0m 49s
Train Loss: 2.2916920401000977 | Train Acc: 15.133999288082123%
Test Loss: 2.2915663635253907 | Test Acc: 15.18000066280365%
Epoch: 4 | Epoch Time: 0m 49s
Train Loss: 2.285044819946289 | Train Acc: 15.299999713897705%
Test Loss: 2.2848780426025392 | Test Acc: 15.299999713897705%
Epoch: 5 | Epoch Time: 0m 47s
Train Loss: 2.2767769216918947 | Train Acc: 15.731999278068542%
Test Loss: 2.276551257324219 | Test Acc: 15.559999644756317%
Epoch: 6 | Epoch Time: 0m 47s
Train Loss: 2.267105154418945 | Train Acc: 17.139999568462372%
Test Loss: 2.266817120361328 | Test Acc: 17.110000550746918%
Epoch: 7 | Epoch Time: 0m 47s
Train Loss: 2.255895544433594 | Train Acc: 18.880000710487366%
Test Loss: 2.2555236450195313 | Test Acc: 18.809999525547028%
Epoch: 8 | Epoch Time: 0m 47s
Train Loss: 2.2432825549316404 | Train Acc: 20.951999723911285%
Test Loss: 2.242831202697754 | Test Acc: 21.240000426769257%
Epoch: 9 | Epoch Time: 0m 48s
Train Loss: 2.2290447897338868 | Train Acc: 23.107999563217163%
Test Loss: 2.228504591369629 | Test Acc: 23.489999771118164%
Epoch: 10 | Epoch Time: 0m 47s
Train Loss: 2.213364737854004 | Train Acc: 24.967999756336212%
Test Loss: 2.2127406204223634 | Test Acc: 25.8899986743927%
Epoch: 11 | Epoch Time: 0m 48s
Train Loss: 2.1976754193115235 | Train Acc: 26.524001359939575%
Test Loss: 2.196947994995117 | Test Acc: 27.2599995136261%
