Namespace(action=10, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -0.1, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 02:02:02 2024]======================
Epoch: 1 | Epoch Time: 0m 46s
Train Loss: 2.3004153997802734 | Train Acc: 10.000000149011612%
Test Loss: 2.300479986572266 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 46s
Train Loss: 2.2954439724731444 | Train Acc: 10.294000059366226%
Test Loss: 2.295439012145996 | Test Acc: 10.249999910593033%
Epoch: 3 | Epoch Time: 0m 47s
Train Loss: 2.2875179052734373 | Train Acc: 14.127999544143677%
Test Loss: 2.2874148071289064 | Test Acc: 14.239999651908875%
Epoch: 4 | Epoch Time: 0m 46s
Train Loss: 2.276447841491699 | Train Acc: 17.7839994430542%
Test Loss: 2.276225326538086 | Test Acc: 18.58000010251999%
Epoch: 5 | Epoch Time: 0m 46s
Train Loss: 2.262344553833008 | Train Acc: 20.413999259471893%
Test Loss: 2.2619846954345704 | Test Acc: 21.25999927520752%
Epoch: 6 | Epoch Time: 0m 46s
Train Loss: 2.245540131530762 | Train Acc: 22.412000596523285%
Test Loss: 2.2450248916625974 | Test Acc: 23.28999936580658%
Epoch: 7 | Epoch Time: 0m 47s
Train Loss: 2.227296084899902 | Train Acc: 23.887999355793%
Test Loss: 2.2265805221557615 | Test Acc: 24.33999925851822%
Epoch: 8 | Epoch Time: 0m 46s
Train Loss: 2.20597787109375 | Train Acc: 25.293999910354614%
Test Loss: 2.205073306274414 | Test Acc: 25.74000060558319%
Epoch: 9 | Epoch Time: 0m 47s
Train Loss: 2.1821307122802733 | Train Acc: 26.59200131893158%
Test Loss: 2.1810157363891602 | Test Acc: 27.45000123977661%
Epoch: 10 | Epoch Time: 0m 46s
Train Loss: 2.156809560546875 | Train Acc: 28.03800106048584%
Test Loss: 2.155524258422852 | Test Acc: 28.709998726844788%
Epoch: 11 | Epoch Time: 0m 46s
Train Loss: 2.1306390438842775 | Train Acc: 29.35599982738495%
Test Loss: 2.1291404525756836 | Test Acc: 30.050000548362732%
Epoch: 12 | Epoch Time: 0m 46s
Train Loss: 2.103371128845215 | Train Acc: 30.406001210212708%
Test Loss: 2.1017027709960936 | Test Acc: 31.130000948905945%
Epoch: 13 | Epoch Time: 0m 46s
Train Loss: 2.076230688781738 | Train Acc: 31.393998861312866%
Test Loss: 2.074339321899414 | Test Acc: 32.17000067234039%
Epoch: 14 | Epoch Time: 0m 47s
Train Loss: 2.0485528170776366 | Train Acc: 32.328000664711%
Test Loss: 2.0465140701293945 | Test Acc: 32.94000029563904%
Epoch: 15 | Epoch Time: 0m 46s
Train Loss: 2.0219815026855468 | Train Acc: 33.052000403404236%
Test Loss: 2.0198155670166016 | Test Acc: 33.55000019073486%
Epoch: 16 | Epoch Time: 0m 45s
Train Loss: 1.9952168124389649 | Train Acc: 33.79200100898743%
Test Loss: 1.9929231124877929 | Test Acc: 34.24000144004822%
Epoch: 17 | Epoch Time: 0m 45s
Train Loss: 1.9688183557128907 | Train Acc: 34.42600071430206%
Test Loss: 1.9663550445556641 | Test Acc: 34.99999940395355%
Epoch: 18 | Epoch Time: 0m 46s
Train Loss: 1.9425647729492188 | Train Acc: 34.95799899101257%
Test Loss: 1.9399603164672852 | Test Acc: 35.53999960422516%
Epoch: 19 | Epoch Time: 0m 47s
Train Loss: 1.9164513946533204 | Train Acc: 35.47399938106537%
Test Loss: 1.9136996887207032 | Test Acc: 36.160001158714294%
Epoch: 20 | Epoch Time: 0m 46s
Train Loss: 1.8943077487182618 | Train Acc: 36.06800138950348%
Test Loss: 1.8914275146484374 | Test Acc: 36.84000074863434%
Epoch: 21 | Epoch Time: 0m 46s
Train Loss: 1.8718586080932618 | Train Acc: 36.44599914550781%
Test Loss: 1.8689307678222655 | Test Acc: 37.25000023841858%
Epoch: 22 | Epoch Time: 0m 46s
Train Loss: 1.8499961227416992 | Train Acc: 36.96799874305725%
Test Loss: 1.8470636993408203 | Test Acc: 37.58000135421753%
Epoch: 23 | Epoch Time: 0m 47s
Train Loss: 1.8293314297485352 | Train Acc: 37.42600083351135%
Test Loss: 1.8264271911621093 | Test Acc: 38.04999887943268%
Epoch: 24 | Epoch Time: 0m 46s
Train Loss: 1.8090133532714843 | Train Acc: 37.926000356674194%
Test Loss: 1.8061159957885742 | Test Acc: 38.56000006198883%
Epoch: 25 | Epoch Time: 0m 46s
Train Loss: 1.790005502319336 | Train Acc: 38.23600113391876%
Test Loss: 1.7871408279418945 | Test Acc: 38.760000467300415%
Epoch: 26 | Epoch Time: 0m 47s
Train Loss: 1.7733806646728516 | Train Acc: 38.61800134181976%
Test Loss: 1.7706505630493163 | Test Acc: 39.10000026226044%
Epoch: 27 | Epoch Time: 0m 46s
Train Loss: 1.757242464904785 | Train Acc: 38.89800012111664%
Test Loss: 1.7546250137329102 | Test Acc: 39.28999900817871%
Epoch: 28 | Epoch Time: 0m 46s
Train Loss: 1.741462876586914 | Train Acc: 39.278000593185425%
Test Loss: 1.7389314392089843 | Test Acc: 39.46999907493591%
Epoch: 29 | Epoch Time: 0m 46s
Train Loss: 1.7246890634155274 | Train Acc: 39.68000113964081%
Test Loss: 1.7222587341308593 | Test Acc: 39.660000801086426%
Epoch: 30 | Epoch Time: 0m 46s
Train Loss: 1.7102012957763673 | Train Acc: 39.96799886226654%
Test Loss: 1.707883186340332 | Test Acc: 40.02000093460083%
Epoch: 31 | Epoch Time: 0m 46s
Train Loss: 1.695189703979492 | Train Acc: 40.33400118350983%
Test Loss: 1.6929992248535157 | Test Acc: 40.27000069618225%
Epoch: 32 | Epoch Time: 0m 46s
Train Loss: 1.6805081881713868 | Train Acc: 40.66599905490875%
Test Loss: 1.678460987854004 | Test Acc: 40.65000116825104%
Epoch: 33 | Epoch Time: 0m 46s
Train Loss: 1.6678058847045898 | Train Acc: 40.926000475883484%
Test Loss: 1.6659752960205079 | Test Acc: 40.950000286102295%
Epoch: 34 | Epoch Time: 0m 47s
Train Loss: 1.6556670175170898 | Train Acc: 41.18799865245819%
Test Loss: 1.653938916015625 | Test Acc: 41.10000133514404%
Epoch: 35 | Epoch Time: 0m 46s
Train Loss: 1.643736605834961 | Train Acc: 41.48800075054169%
Test Loss: 1.6422131271362306 | Test Acc: 41.31999909877777%
Epoch: 36 | Epoch Time: 0m 46s
Train Loss: 1.633146427307129 | Train Acc: 41.72599911689758%
Test Loss: 1.6318169845581054 | Test Acc: 41.60999953746796%
Epoch: 37 | Epoch Time: 0m 46s
Train Loss: 1.6221032086181641 | Train Acc: 41.99399948120117%
Test Loss: 1.6209069290161133 | Test Acc: 41.96000099182129%
Epoch: 38 | Epoch Time: 0m 46s
Train Loss: 1.6127662991333007 | Train Acc: 42.221999168395996%
Test Loss: 1.6118479064941407 | Test Acc: 42.03000068664551%
Epoch: 39 | Epoch Time: 0m 46s
Train Loss: 1.6029981802368165 | Train Acc: 42.486000061035156%
Test Loss: 1.602258479309082 | Test Acc: 42.410001158714294%
Epoch: 40 | Epoch Time: 0m 47s
Train Loss: 1.5946450579833984 | Train Acc: 42.83199906349182%
Test Loss: 1.5939202758789062 | Test Acc: 42.750000953674316%
Epoch: 41 | Epoch Time: 0m 47s
Train Loss: 1.5850813626098632 | Train Acc: 43.154001235961914%
Test Loss: 1.5845585540771485 | Test Acc: 43.059998750686646%
Epoch: 42 | Epoch Time: 0m 46s
Train Loss: 1.5771611651611328 | Train Acc: 43.362000584602356%
Test Loss: 1.5769738418579102 | Test Acc: 43.050000071525574%
Epoch: 43 | Epoch Time: 0m 46s
Train Loss: 1.5672570462036133 | Train Acc: 43.63999962806702%
Test Loss: 1.5672973419189453 | Test Acc: 43.470001220703125%
Epoch: 44 | Epoch Time: 0m 47s
Train Loss: 1.560429751586914 | Train Acc: 43.817999958992004%
Test Loss: 1.560777507019043 | Test Acc: 43.75999867916107%
Epoch: 45 | Epoch Time: 0m 47s
Train Loss: 1.5525035101318359 | Train Acc: 44.07599866390228%
Test Loss: 1.5530423217773437 | Test Acc: 43.9300000667572%
Epoch: 46 | Epoch Time: 0m 46s
Train Loss: 1.5438339566040038 | Train Acc: 44.29599940776825%
Test Loss: 1.5444846603393554 | Test Acc: 44.33000087738037%
Epoch: 47 | Epoch Time: 0m 47s
Train Loss: 1.5367617999267578 | Train Acc: 44.48800086975098%
Test Loss: 1.5377511154174806 | Test Acc: 44.429999589920044%
Epoch: 48 | Epoch Time: 0m 47s
Train Loss: 1.528600604248047 | Train Acc: 44.7519987821579%
Test Loss: 1.5297936431884767 | Test Acc: 44.690001010894775%
Epoch: 49 | Epoch Time: 0m 46s
Train Loss: 1.5219071954345702 | Train Acc: 44.99199986457825%
Test Loss: 1.523469952392578 | Test Acc: 45.010000467300415%
Epoch: 50 | Epoch Time: 0m 46s
Train Loss: 1.5137921856689454 | Train Acc: 45.28599977493286%
Test Loss: 1.515514178466797 | Test Acc: 45.3000009059906%
Epoch: 51 | Epoch Time: 0m 46s
Train Loss: 1.5061344766235352 | Train Acc: 45.524001121520996%
Test Loss: 1.5081892272949218 | Test Acc: 45.46000063419342%
Epoch: 52 | Epoch Time: 0m 47s
Train Loss: 1.4986022912597656 | Train Acc: 45.80200016498566%
Test Loss: 1.50094541015625 | Test Acc: 45.80000042915344%
Epoch: 53 | Epoch Time: 0m 46s
Train Loss: 1.4918278480529785 | Train Acc: 45.98399996757507%
Test Loss: 1.4944456436157227 | Test Acc: 45.95000147819519%
Epoch: 54 | Epoch Time: 0m 46s
Train Loss: 1.4852768106079102 | Train Acc: 46.19799852371216%
Test Loss: 1.488150316619873 | Test Acc: 46.230000257492065%
Epoch: 55 | Epoch Time: 0m 47s
Train Loss: 1.4788501614379883 | Train Acc: 46.417999267578125%
Test Loss: 1.4819899200439453 | Test Acc: 46.43000066280365%
Epoch: 56 | Epoch Time: 0m 47s
Train Loss: 1.473757736968994 | Train Acc: 46.59599959850311%
Test Loss: 1.4771107223510742 | Test Acc: 46.59000039100647%
Epoch: 57 | Epoch Time: 0m 46s
Train Loss: 1.4688898542785644 | Train Acc: 46.748000383377075%
Test Loss: 1.4725660102844238 | Test Acc: 46.86000049114227%
Epoch: 58 | Epoch Time: 0m 46s
Train Loss: 1.4618811366271973 | Train Acc: 47.02000021934509%
Test Loss: 1.4657052368164063 | Test Acc: 47.269999980926514%
Epoch: 59 | Epoch Time: 0m 47s
Train Loss: 1.4541232946777343 | Train Acc: 47.29799926280975%
