Namespace(action=14, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -1.0, 'k': 1, 'b': 8, 'test_frequency': 1}
======================Start Train Model [Thu May  9 02:12:23 2024]======================
Epoch: 1 | Epoch Time: 1m 46s
Train Loss: 2.297102067565918 | Train Acc: 11.321999877691269%
Test Loss: 2.297132174682617 | Test Acc: 11.299999803304672%
Epoch: 2 | Epoch Time: 1m 46s
Train Loss: 2.2834940780639648 | Train Acc: 16.90399944782257%
Test Loss: 2.2833401107788087 | Test Acc: 17.270000278949738%
Epoch: 3 | Epoch Time: 1m 46s
Train Loss: 2.2596446194458006 | Train Acc: 20.26599943637848%
Test Loss: 2.259234164428711 | Test Acc: 20.13999968767166%
Epoch: 4 | Epoch Time: 1m 47s
Train Loss: 2.2257766137695314 | Train Acc: 24.327999353408813%
Test Loss: 2.2249674697875976 | Test Acc: 24.629999697208405%
Epoch: 5 | Epoch Time: 1m 45s
Train Loss: 2.1865983615112303 | Train Acc: 27.017998695373535%
Test Loss: 2.1852799255371096 | Test Acc: 27.079999446868896%
Epoch: 6 | Epoch Time: 1m 49s
Train Loss: 2.14045905670166 | Train Acc: 28.79199981689453%
Test Loss: 2.1388145248413086 | Test Acc: 29.179999232292175%
Epoch: 7 | Epoch Time: 1m 45s
Train Loss: 2.099628222961426 | Train Acc: 30.202001333236694%
Test Loss: 2.0972872772216795 | Test Acc: 30.489999055862427%
Epoch: 8 | Epoch Time: 1m 46s
Train Loss: 2.0529367987060545 | Train Acc: 32.01799988746643%
Test Loss: 2.0501348754882813 | Test Acc: 32.3199987411499%
Epoch: 9 | Epoch Time: 1m 45s
Train Loss: 2.0010995483398437 | Train Acc: 33.48599970340729%
Test Loss: 1.9979306076049805 | Test Acc: 33.98999869823456%
Epoch: 10 | Epoch Time: 1m 46s
Train Loss: 1.9481380990600585 | Train Acc: 35.179999470710754%
Test Loss: 1.9452789993286133 | Test Acc: 36.14000082015991%
Epoch: 11 | Epoch Time: 1m 46s
Train Loss: 1.903129787902832 | Train Acc: 36.09800040721893%
Test Loss: 1.8999047561645508 | Test Acc: 36.77000105381012%
Epoch: 12 | Epoch Time: 1m 46s
Train Loss: 1.86159808013916 | Train Acc: 37.25199997425079%
Test Loss: 1.8582535095214843 | Test Acc: 37.83000111579895%
Epoch: 13 | Epoch Time: 1m 46s
Train Loss: 1.8208489263916015 | Train Acc: 37.93799877166748%
Test Loss: 1.8167186141967773 | Test Acc: 38.37000131607056%
Epoch: 14 | Epoch Time: 1m 45s
Train Loss: 1.7875411737060547 | Train Acc: 38.51799964904785%
Test Loss: 1.784093701171875 | Test Acc: 38.89000117778778%
Epoch: 15 | Epoch Time: 1m 47s
Train Loss: 1.7522909939575195 | Train Acc: 39.16800022125244%
Test Loss: 1.7495797668457032 | Test Acc: 39.59999978542328%
Epoch: 16 | Epoch Time: 1m 46s
Train Loss: 1.7215951733398438 | Train Acc: 39.89599943161011%
Test Loss: 1.7195925094604492 | Test Acc: 39.980000257492065%
Epoch: 17 | Epoch Time: 1m 47s
Train Loss: 1.6951843579101562 | Train Acc: 40.588000416755676%
Test Loss: 1.6935266159057618 | Test Acc: 40.97000062465668%
Epoch: 18 | Epoch Time: 1m 47s
Train Loss: 1.674190739440918 | Train Acc: 41.086000204086304%
Test Loss: 1.6739763442993163 | Test Acc: 41.01000130176544%
Epoch: 19 | Epoch Time: 1m 45s
Train Loss: 1.649861961669922 | Train Acc: 41.22999906539917%
Test Loss: 1.650185594177246 | Test Acc: 41.1300003528595%
Epoch: 20 | Epoch Time: 1m 46s
Train Loss: 1.630381605529785 | Train Acc: 41.905999183654785%
Test Loss: 1.6316649459838868 | Test Acc: 41.589999198913574%
Epoch: 21 | Epoch Time: 1m 45s
Train Loss: 1.6095167379760742 | Train Acc: 42.44999885559082%
Test Loss: 1.6110763259887695 | Test Acc: 42.39000082015991%
