Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -1.0, 'k': 20, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Wed May  8 16:59:51 2024]======================
Epoch: 1 | Epoch Time: 0m 37s
Train Loss: 2.303263344116211 | Train Acc: 10.000000149011612%
Test Loss: 2.303178341674805 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 37s
Train Loss: 2.3022516146850585 | Train Acc: 10.050000250339508%
Test Loss: 2.3021580932617187 | Test Acc: 10.050000250339508%
Epoch: 3 | Epoch Time: 0m 36s
Train Loss: 2.301011235961914 | Train Acc: 10.413999855518341%
Test Loss: 2.300908445739746 | Test Acc: 10.540000349283218%
Epoch: 4 | Epoch Time: 0m 36s
Train Loss: 2.2994686749267577 | Train Acc: 11.33200004696846%
Test Loss: 2.2993530624389646 | Test Acc: 11.509999632835388%
Epoch: 5 | Epoch Time: 0m 37s
Train Loss: 2.297543833312988 | Train Acc: 12.785999476909637%
Test Loss: 2.297414796447754 | Test Acc: 13.060000538825989%
Epoch: 6 | Epoch Time: 0m 37s
Train Loss: 2.29533433013916 | Train Acc: 14.562000334262848%
Test Loss: 2.2951835037231447 | Test Acc: 14.810000360012054%
Epoch: 7 | Epoch Time: 0m 36s
Train Loss: 2.2928704232788086 | Train Acc: 16.791999340057373%
Test Loss: 2.2927015625 | Test Acc: 16.910000145435333%
Epoch: 8 | Epoch Time: 0m 36s
Train Loss: 2.2900436624145506 | Train Acc: 18.219999969005585%
Test Loss: 2.289854071044922 | Test Acc: 18.320000171661377%
Epoch: 9 | Epoch Time: 0m 36s
Train Loss: 2.2867533917236327 | Train Acc: 18.501999974250793%
Test Loss: 2.286532925415039 | Test Acc: 18.6599999666214%
Epoch: 10 | Epoch Time: 0m 37s
Train Loss: 2.2832609048461916 | Train Acc: 18.425999581813812%
Test Loss: 2.2830060501098632 | Test Acc: 18.729999661445618%
Epoch: 11 | Epoch Time: 0m 37s
Train Loss: 2.279205999145508 | Train Acc: 18.82600039243698%
Test Loss: 2.2789228256225584 | Test Acc: 19.099999964237213%
Epoch: 12 | Epoch Time: 0m 36s
Train Loss: 2.274822982177734 | Train Acc: 19.208000600337982%
Test Loss: 2.2745056518554687 | Test Acc: 19.210000336170197%
Epoch: 13 | Epoch Time: 0m 38s
Train Loss: 2.2700874502563475 | Train Acc: 20.14400064945221%
Test Loss: 2.2697389114379884 | Test Acc: 19.990000128746033%
Epoch: 14 | Epoch Time: 0m 43s
Train Loss: 2.2650868618774416 | Train Acc: 20.547999441623688%
Test Loss: 2.2646933044433593 | Test Acc: 20.399999618530273%
Epoch: 15 | Epoch Time: 0m 43s
Train Loss: 2.2599618493652343 | Train Acc: 21.400000154972076%
Test Loss: 2.2595209564208982 | Test Acc: 21.43999934196472%
Epoch: 16 | Epoch Time: 0m 43s
Train Loss: 2.2547510009765626 | Train Acc: 22.23600000143051%
Test Loss: 2.254268421936035 | Test Acc: 22.31000065803528%
Epoch: 17 | Epoch Time: 0m 48s
Train Loss: 2.2481934985351564 | Train Acc: 23.25800061225891%
Test Loss: 2.2476579803466796 | Test Acc: 23.270000517368317%
Epoch: 18 | Epoch Time: 0m 45s
Train Loss: 2.2420854861450197 | Train Acc: 24.225999414920807%
Test Loss: 2.2415173263549804 | Test Acc: 24.330000579357147%
Epoch: 19 | Epoch Time: 0m 39s
Train Loss: 2.236020928649902 | Train Acc: 24.740000069141388%
Test Loss: 2.2353782272338867 | Test Acc: 24.76000040769577%
Epoch: 20 | Epoch Time: 0m 41s
Train Loss: 2.2297490600585936 | Train Acc: 25.095999240875244%
Test Loss: 2.229026446533203 | Test Acc: 25.110000371932983%
Epoch: 21 | Epoch Time: 0m 40s
Train Loss: 2.2223648181152345 | Train Acc: 25.944000482559204%
Test Loss: 2.2215879791259767 | Test Acc: 25.87999999523163%
Epoch: 22 | Epoch Time: 0m 39s
Train Loss: 2.2150343548583984 | Train Acc: 26.440000534057617%
Test Loss: 2.21419108581543 | Test Acc: 26.559999585151672%
Epoch: 23 | Epoch Time: 0m 38s
Train Loss: 2.207434684448242 | Train Acc: 27.00200080871582%
Test Loss: 2.2065281021118164 | Test Acc: 27.18999981880188%
Epoch: 24 | Epoch Time: 0m 39s
Train Loss: 2.1987577194213865 | Train Acc: 27.77000069618225%
Test Loss: 2.1978232421875 | Test Acc: 27.880001068115234%
Epoch: 25 | Epoch Time: 0m 39s
Train Loss: 2.189990602722168 | Train Acc: 28.259998559951782%
Test Loss: 2.189011866760254 | Test Acc: 28.389999270439148%
Epoch: 26 | Epoch Time: 0m 38s
Train Loss: 2.1809552346801757 | Train Acc: 28.828001022338867%
Test Loss: 2.179912788391113 | Test Acc: 29.06000018119812%
Epoch: 27 | Epoch Time: 0m 37s
