Namespace(action=8, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'bf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': -5.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 04:18:40 2024]======================
Epoch: 1 | Epoch Time: 0m 39s
Train Loss: 2.2956990182495116 | Train Acc: 11.097999662160873%
Test Loss: 2.295788848876953 | Test Acc: 10.849999636411667%
Epoch: 2 | Epoch Time: 0m 38s
Train Loss: 2.2787885540771486 | Train Acc: 16.962000727653503%
Test Loss: 2.278903384399414 | Test Acc: 16.70999974012375%
Epoch: 3 | Epoch Time: 0m 37s
Train Loss: 2.252791445617676 | Train Acc: 20.496000349521637%
Test Loss: 2.25294787902832 | Test Acc: 20.46000063419342%
Epoch: 4 | Epoch Time: 0m 38s
Train Loss: 2.220489348144531 | Train Acc: 22.337999939918518%
Test Loss: 2.220716134643555 | Test Acc: 22.589999437332153%
Epoch: 5 | Epoch Time: 0m 37s
Train Loss: 2.179186358947754 | Train Acc: 25.06600022315979%
Test Loss: 2.1796420669555663 | Test Acc: 25.08000135421753%
Epoch: 6 | Epoch Time: 0m 38s
Train Loss: 2.1360558551025393 | Train Acc: 28.233999013900757%
Test Loss: 2.1367849014282227 | Test Acc: 28.00999879837036%
Epoch: 7 | Epoch Time: 0m 38s
Train Loss: 2.091131114501953 | Train Acc: 30.259999632835388%
Test Loss: 2.092023376464844 | Test Acc: 30.09999990463257%
Epoch: 8 | Epoch Time: 0m 38s
Train Loss: 2.04306996673584 | Train Acc: 31.63999915122986%
Test Loss: 2.044444821166992 | Test Acc: 31.549999117851257%
Epoch: 9 | Epoch Time: 0m 37s
Train Loss: 2.002503871459961 | Train Acc: 31.97599947452545%
Test Loss: 2.0040754959106444 | Test Acc: 31.959998607635498%
Epoch: 10 | Epoch Time: 0m 37s
