Namespace(action=1, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 100, 'batch_size': 128, 'client_lr': 0.1, 'server_lr': 0.1, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Fri May  3 23:22:44 2024]======================
Epoch: 1 | Epoch Time: 0m 58s
Train Loss: 2.3007916735839844 | Train Acc: 10.000000149011612%
Test Loss: 2.300744471740723 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 1m 0s
Train Loss: 2.2990072634887695 | Train Acc: 10.000000149011612%
Test Loss: 2.298950489425659 | Test Acc: 10.000000149011612%
Epoch: 3 | Epoch Time: 1m 1s
Train Loss: 2.2964251400756837 | Train Acc: 10.007999837398529%
Test Loss: 2.296343454360962 | Test Acc: 10.000000149011612%
Epoch: 4 | Epoch Time: 0m 57s
Train Loss: 2.2925561950683595 | Train Acc: 12.176000326871872%
Test Loss: 2.2924270179748536 | Test Acc: 12.200000137090683%
Epoch: 5 | Epoch Time: 0m 57s
Train Loss: 2.2866507485961916 | Train Acc: 15.74999988079071%
Test Loss: 2.2864382583618164 | Test Acc: 15.839999914169312%
Epoch: 6 | Epoch Time: 1m 0s
Train Loss: 2.2777396380615236 | Train Acc: 16.764000058174133%
Test Loss: 2.2774185661315918 | Test Acc: 16.80999994277954%
Epoch: 7 | Epoch Time: 1m 0s
Train Loss: 2.2654985537719727 | Train Acc: 18.535999953746796%
Test Loss: 2.2650557624816896 | Test Acc: 18.479999899864197%
Epoch: 8 | Epoch Time: 0m 58s
Train Loss: 2.250343291931152 | Train Acc: 20.812000334262848%
Test Loss: 2.2497571170806885 | Test Acc: 20.640000700950623%
Epoch: 9 | Epoch Time: 1m 1s
Train Loss: 2.2326892755126955 | Train Acc: 22.930000722408295%
Test Loss: 2.2319400802612304 | Test Acc: 22.910000383853912%
Epoch: 10 | Epoch Time: 1m 1s
Train Loss: 2.2126131954956056 | Train Acc: 24.39199984073639%
