Namespace(action=5, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 0.01, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 09:58:43 2024]======================
Namespace(action=5, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 0.01, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 09:59:01 2024]======================
Epoch: 1 | Epoch Time: 0m 56s
Train Loss: 2.2986134774780274 | Train Acc: 10.001999884843826%
Test Loss: 2.298537055969238 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 0m 57s
Train Loss: 2.2919910583496095 | Train Acc: 15.0859996676445%
Test Loss: 2.291854035949707 | Test Acc: 15.170000493526459%
Epoch: 3 | Epoch Time: 0m 58s
Train Loss: 2.2814952407836913 | Train Acc: 16.364000737667084%
Test Loss: 2.2812741638183596 | Test Acc: 16.449999809265137%
Epoch: 4 | Epoch Time: 0m 58s
Train Loss: 2.2669888497924804 | Train Acc: 19.923999905586243%
Test Loss: 2.2666563247680664 | Test Acc: 20.37999927997589%
Epoch: 5 | Epoch Time: 0m 56s
Train Loss: 2.2491241455078126 | Train Acc: 23.029999434947968%
Test Loss: 2.248658383178711 | Test Acc: 23.520000278949738%
Epoch: 6 | Epoch Time: 0m 55s
Train Loss: 2.227961781311035 | Train Acc: 25.15600025653839%
Test Loss: 2.2273544692993164 | Test Acc: 25.909999012947083%
Epoch: 7 | Epoch Time: 0m 55s
Train Loss: 2.2047721701049805 | Train Acc: 27.22199857234955%
Test Loss: 2.2039799392700195 | Test Acc: 27.84000039100647%
Epoch: 8 | Epoch Time: 0m 55s
Train Loss: 2.1785021728515623 | Train Acc: 29.13999855518341%
Test Loss: 2.177522622680664 | Test Acc: 29.6099990606308%
Epoch: 9 | Epoch Time: 0m 55s
Train Loss: 2.1506564584350585 | Train Acc: 30.608001351356506%
Test Loss: 2.1494090072631837 | Test Acc: 30.779999494552612%
Epoch: 10 | Epoch Time: 0m 56s
Train Loss: 2.1217932516479494 | Train Acc: 31.643998622894287%
Test Loss: 2.1202668441772463 | Test Acc: 31.760001182556152%
Epoch: 11 | Epoch Time: 0m 55s
Train Loss: 2.0924244232177736 | Train Acc: 32.513999938964844%
Test Loss: 2.0906444046020507 | Test Acc: 32.83999860286713%
Epoch: 12 | Epoch Time: 0m 59s
Train Loss: 2.061774895019531 | Train Acc: 33.296000957489014%
Test Loss: 2.0597425186157228 | Test Acc: 33.61000120639801%
Epoch: 13 | Epoch Time: 1m 2s
Train Loss: 2.0313998654174803 | Train Acc: 34.01400148868561%
Test Loss: 2.0290857055664064 | Test Acc: 34.47999954223633%
Epoch: 14 | Epoch Time: 1m 0s
Train Loss: 2.002354407043457 | Train Acc: 34.74999964237213%
Test Loss: 1.9997940551757813 | Test Acc: 35.24999916553497%
Epoch: 15 | Epoch Time: 0m 59s
Train Loss: 1.9725496524047852 | Train Acc: 35.346001386642456%
Test Loss: 1.9697989395141602 | Test Acc: 36.01999878883362%
Epoch: 16 | Epoch Time: 0m 58s
Train Loss: 1.9453806176757813 | Train Acc: 35.98200082778931%
Test Loss: 1.9424260864257812 | Test Acc: 36.44999861717224%
Epoch: 17 | Epoch Time: 0m 59s
Train Loss: 1.9184695849609374 | Train Acc: 36.489999294281006%
Test Loss: 1.9154308776855469 | Test Acc: 37.16000020503998%
Epoch: 18 | Epoch Time: 0m 59s
Train Loss: 1.8916766976928712 | Train Acc: 36.956000328063965%
Test Loss: 1.8884475662231446 | Test Acc: 37.49000132083893%
Epoch: 19 | Epoch Time: 0m 59s
Train Loss: 1.8688515747070313 | Train Acc: 37.450000643730164%
Test Loss: 1.8654260437011718 | Test Acc: 37.74000108242035%
Epoch: 20 | Epoch Time: 1m 1s
Train Loss: 1.8437918142700196 | Train Acc: 37.992000579833984%
Test Loss: 1.8402478668212892 | Test Acc: 38.17000091075897%
Epoch: 21 | Epoch Time: 1m 1s
Train Loss: 1.8210467736816407 | Train Acc: 38.444000482559204%
Test Loss: 1.817378419494629 | Test Acc: 38.49000036716461%
Epoch: 22 | Epoch Time: 0m 57s
Train Loss: 1.80070820892334 | Train Acc: 38.77600133419037%
Test Loss: 1.7969346267700195 | Test Acc: 38.78999948501587%
Epoch: 23 | Epoch Time: 0m 55s
Train Loss: 1.7794267474365235 | Train Acc: 39.2300009727478%
Test Loss: 1.7755987991333009 | Test Acc: 39.25999999046326%
Epoch: 24 | Epoch Time: 0m 54s
Train Loss: 1.7600682586669922 | Train Acc: 39.47399854660034%
Test Loss: 1.7561814834594727 | Test Acc: 39.410001039505005%
Epoch: 25 | Epoch Time: 0m 59s
Train Loss: 1.7411218411254883 | Train Acc: 39.84000086784363%
Test Loss: 1.7372755645751954 | Test Acc: 40.049999952316284%
Epoch: 26 | Epoch Time: 0m 57s
Train Loss: 1.7230799221801758 | Train Acc: 40.220001339912415%
Test Loss: 1.7193090637207031 | Test Acc: 40.36000072956085%
Epoch: 27 | Epoch Time: 0m 57s
Train Loss: 1.7070035961914063 | Train Acc: 40.553998947143555%
Test Loss: 1.7032832122802735 | Test Acc: 40.59999883174896%
Epoch: 28 | Epoch Time: 0m 52s
Train Loss: 1.6909331549072266 | Train Acc: 40.87199866771698%
Test Loss: 1.6873396408081054 | Test Acc: 40.860000252723694%
Epoch: 29 | Epoch Time: 0m 58s
Train Loss: 1.678259402770996 | Train Acc: 41.13200008869171%
Test Loss: 1.6747246154785156 | Test Acc: 40.950000286102295%
Epoch: 30 | Epoch Time: 0m 58s
Train Loss: 1.6614421725463868 | Train Acc: 41.600000858306885%
Test Loss: 1.658068409729004 | Test Acc: 41.33000075817108%
Epoch: 31 | Epoch Time: 0m 51s
Train Loss: 1.6479041937255858 | Train Acc: 41.99000000953674%
Test Loss: 1.644617739868164 | Test Acc: 41.89000129699707%
Epoch: 32 | Epoch Time: 0m 51s
Train Loss: 1.6335332986450195 | Train Acc: 42.399999499320984%
Test Loss: 1.630378762817383 | Test Acc: 42.28000044822693%
Epoch: 33 | Epoch Time: 0m 47s
Train Loss: 1.619634398803711 | Train Acc: 42.80399978160858%
