Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 16:22:31 2024]======================
Epoch: 1 | Epoch Time: 0m 51s
Train Loss: 2.2993608905029297 | Train Acc: 9.995999932289124%
Test Loss: 2.2994318740844726 | Test Acc: 9.97999981045723%
Epoch: 2 | Epoch Time: 0m 53s
Train Loss: 2.289566604003906 | Train Acc: 13.425999879837036%
Test Loss: 2.289555763244629 | Test Acc: 13.339999318122864%
Epoch: 3 | Epoch Time: 0m 51s
Train Loss: 2.2713512677001955 | Train Acc: 17.15400069952011%
Test Loss: 2.2711939743041993 | Test Acc: 17.100000381469727%
Epoch: 4 | Epoch Time: 0m 55s
Train Loss: 2.2441972186279298 | Train Acc: 18.907999992370605%
Test Loss: 2.2438684371948243 | Test Acc: 19.32999938726425%
Epoch: 5 | Epoch Time: 0m 52s
Train Loss: 2.2110677532958984 | Train Acc: 21.42000049352646%
Test Loss: 2.2105337921142576 | Test Acc: 21.879999339580536%
Epoch: 6 | Epoch Time: 0m 55s
Train Loss: 2.1745102896118165 | Train Acc: 23.67199957370758%
Test Loss: 2.1737337997436526 | Test Acc: 24.300000071525574%
Epoch: 7 | Epoch Time: 0m 54s
Train Loss: 2.1383086444091797 | Train Acc: 25.652000308036804%
Test Loss: 2.137223971557617 | Test Acc: 26.440000534057617%
Epoch: 8 | Epoch Time: 0m 53s
Train Loss: 2.1003945751953124 | Train Acc: 27.028000354766846%
Test Loss: 2.0990586624145506 | Test Acc: 27.869999408721924%
Epoch: 9 | Epoch Time: 0m 53s
Train Loss: 2.0635650018310545 | Train Acc: 28.37199866771698%
Test Loss: 2.061967332458496 | Test Acc: 29.319998621940613%
Epoch: 10 | Epoch Time: 0m 52s
Train Loss: 2.026828071899414 | Train Acc: 29.923999309539795%
Test Loss: 2.0250891723632813 | Test Acc: 30.68999946117401%
Epoch: 11 | Epoch Time: 0m 53s
Train Loss: 1.9961015536499023 | Train Acc: 31.28199875354767%
Test Loss: 1.9940614242553711 | Test Acc: 31.65999948978424%
Epoch: 12 | Epoch Time: 0m 51s
