Namespace(action=14, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 10, 'test_frequency': 1}
======================Start Train Model [Thu May  9 05:53:23 2024]======================
Epoch: 1 | Epoch Time: 1m 47s
Train Loss: 2.2956167395019533 | Train Acc: 16.033999621868134%
Test Loss: 2.2956627685546875 | Test Acc: 16.050000488758087%
Epoch: 2 | Epoch Time: 1m 47s
Train Loss: 2.2792301635742187 | Train Acc: 19.213999807834625%
Test Loss: 2.279158654785156 | Test Acc: 19.370000064373016%
Epoch: 3 | Epoch Time: 1m 47s
Train Loss: 2.2535350927734377 | Train Acc: 23.24800044298172%
Test Loss: 2.253207371520996 | Test Acc: 23.37999939918518%
Epoch: 4 | Epoch Time: 1m 47s
Train Loss: 2.214892166442871 | Train Acc: 25.957998633384705%
Test Loss: 2.2141339233398436 | Test Acc: 26.339998841285706%
Epoch: 5 | Epoch Time: 1m 46s
Train Loss: 2.1748824642944338 | Train Acc: 29.16400134563446%
Test Loss: 2.173856773376465 | Test Acc: 29.490000009536743%
Epoch: 6 | Epoch Time: 1m 47s
Train Loss: 2.127388207397461 | Train Acc: 31.229999661445618%
Test Loss: 2.1260682846069336 | Test Acc: 31.369999051094055%
Epoch: 7 | Epoch Time: 1m 47s
Train Loss: 2.076383476867676 | Train Acc: 32.26400017738342%
Test Loss: 2.0741818267822265 | Test Acc: 32.69999921321869%
Epoch: 8 | Epoch Time: 1m 45s
Train Loss: 2.0307174124145506 | Train Acc: 33.05000066757202%
Test Loss: 2.027900033569336 | Test Acc: 33.36000144481659%
Epoch: 9 | Epoch Time: 1m 47s
Train Loss: 1.9828659350585938 | Train Acc: 34.52000021934509%
Test Loss: 1.9796469573974609 | Test Acc: 35.35999953746796%
Epoch: 10 | Epoch Time: 1m 46s
Train Loss: 1.9355671557617187 | Train Acc: 35.81799864768982%
Test Loss: 1.931917239379883 | Test Acc: 36.399999260902405%
Epoch: 11 | Epoch Time: 1m 47s
Train Loss: 1.8955272610473632 | Train Acc: 36.239999532699585%
Test Loss: 1.891339437866211 | Test Acc: 36.809998750686646%
Epoch: 12 | Epoch Time: 1m 45s
Train Loss: 1.8515489398193359 | Train Acc: 37.10600137710571%
Test Loss: 1.8475332885742188 | Test Acc: 37.74000108242035%
Epoch: 13 | Epoch Time: 1m 46s
Train Loss: 1.8176208819580078 | Train Acc: 38.48400115966797%
Test Loss: 1.8134764022827148 | Test Acc: 38.53000104427338%
Epoch: 14 | Epoch Time: 1m 46s
Train Loss: 1.7840534970092774 | Train Acc: 39.3559992313385%
Test Loss: 1.7800765029907226 | Test Acc: 39.559999108314514%
Epoch: 15 | Epoch Time: 1m 45s
Train Loss: 1.7554929174804688 | Train Acc: 39.82599973678589%
Test Loss: 1.7519564743041993 | Test Acc: 40.209999680519104%
Epoch: 16 | Epoch Time: 1m 46s
Train Loss: 1.7260488409423829 | Train Acc: 40.27799963951111%
Test Loss: 1.7233068725585938 | Test Acc: 40.68000018596649%
Epoch: 17 | Epoch Time: 1m 45s
Train Loss: 1.6958926959228515 | Train Acc: 41.13599956035614%
Test Loss: 1.6931058395385743 | Test Acc: 41.47999882698059%
Epoch: 18 | Epoch Time: 1m 47s
Train Loss: 1.6696325744628906 | Train Acc: 41.66400134563446%
Test Loss: 1.6658927536010741 | Test Acc: 41.83000028133392%
Epoch: 19 | Epoch Time: 1m 47s
Train Loss: 1.652511340637207 | Train Acc: 42.06799864768982%
Test Loss: 1.6507205841064454 | Test Acc: 42.35999882221222%
Epoch: 20 | Epoch Time: 1m 49s
Train Loss: 1.6230590161132812 | Train Acc: 42.816001176834106%
Test Loss: 1.62126396484375 | Test Acc: 43.14999878406525%
Epoch: 21 | Epoch Time: 1m 44s
Train Loss: 1.601724721069336 | Train Acc: 43.39999854564667%
Test Loss: 1.6003212265014648 | Test Acc: 43.74000132083893%
Epoch: 22 | Epoch Time: 1m 46s
Train Loss: 1.5783034411621093 | Train Acc: 43.96600127220154%
Test Loss: 1.5766272018432617 | Test Acc: 44.26000118255615%
Epoch: 23 | Epoch Time: 1m 47s
Train Loss: 1.5572415280151368 | Train Acc: 44.39400136470795%
Test Loss: 1.555752099609375 | Test Acc: 44.78000104427338%
Epoch: 24 | Epoch Time: 1m 45s
Train Loss: 1.5521629061889648 | Train Acc: 44.464001059532166%
Test Loss: 1.5501172515869142 | Test Acc: 44.929999113082886%
Epoch: 25 | Epoch Time: 1m 47s
Train Loss: 1.536804841003418 | Train Acc: 45.11600136756897%
Test Loss: 1.5358670166015624 | Test Acc: 45.410001277923584%
Epoch: 26 | Epoch Time: 1m 45s
Train Loss: 1.5158939605712891 | Train Acc: 45.38800120353699%
Test Loss: 1.514948504638672 | Test Acc: 45.730000734329224%
Epoch: 27 | Epoch Time: 1m 46s
Train Loss: 1.5117597094726563 | Train Acc: 45.47399878501892%
Test Loss: 1.5129474243164063 | Test Acc: 45.93000113964081%
Epoch: 28 | Epoch Time: 1m 45s
Train Loss: 1.4912886451721192 | Train Acc: 46.37399911880493%
Test Loss: 1.494469483947754 | Test Acc: 46.75999879837036%
Epoch: 29 | Epoch Time: 1m 46s
Train Loss: 1.4755787269592284 | Train Acc: 46.93000018596649%
Test Loss: 1.4793226402282715 | Test Acc: 47.17999994754791%
Epoch: 30 | Epoch Time: 1m 46s
Train Loss: 1.460453511352539 | Train Acc: 47.43799865245819%
Test Loss: 1.4651953689575195 | Test Acc: 47.769999504089355%
Epoch: 31 | Epoch Time: 1m 46s
Train Loss: 1.4556817764282226 | Train Acc: 47.5600004196167%
Test Loss: 1.4602749847412109 | Test Acc: 47.56999909877777%
Epoch: 32 | Epoch Time: 1m 45s
Train Loss: 1.4463489823913573 | Train Acc: 47.97599911689758%
Test Loss: 1.4521418762207032 | Test Acc: 47.94999957084656%
Epoch: 33 | Epoch Time: 1m 47s
Train Loss: 1.435864120941162 | Train Acc: 48.26799929141998%
Test Loss: 1.4429793502807617 | Test Acc: 48.170000314712524%
Epoch: 34 | Epoch Time: 1m 46s
Train Loss: 1.430667082672119 | Train Acc: 48.44200015068054%
Test Loss: 1.4384347236633301 | Test Acc: 48.21999967098236%
