Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Mon May  6 17:23:18 2024]======================
Epoch: 1 | Epoch Time: 0m 53s
Train Loss: 2.2973056396484375 | Train Acc: 10.053999722003937%
Test Loss: 2.297347508239746 | Test Acc: 10.019999742507935%
Epoch: 2 | Epoch Time: 0m 53s
Train Loss: 2.2842084774780274 | Train Acc: 13.155999779701233%
Test Loss: 2.2840898330688475 | Test Acc: 12.929999828338623%
Epoch: 3 | Epoch Time: 0m 52s
Train Loss: 2.2612130569458007 | Train Acc: 19.745999574661255%
Test Loss: 2.2608531829833987 | Test Acc: 20.04999965429306%
Epoch: 4 | Epoch Time: 0m 52s
Train Loss: 2.2258884448242187 | Train Acc: 24.617999792099%
Test Loss: 2.225232159423828 | Test Acc: 24.75000023841858%
Epoch: 5 | Epoch Time: 0m 53s
Train Loss: 2.181888481750488 | Train Acc: 28.007999062538147%
Test Loss: 2.181118586730957 | Test Acc: 28.18000018596649%
Epoch: 6 | Epoch Time: 0m 52s
Train Loss: 2.1331591638183593 | Train Acc: 29.47399914264679%
Test Loss: 2.132171208190918 | Test Acc: 29.44999933242798%
Epoch: 7 | Epoch Time: 0m 52s
Train Loss: 2.0957974114990234 | Train Acc: 29.769998788833618%
Test Loss: 2.094069859313965 | Test Acc: 30.309998989105225%
Epoch: 8 | Epoch Time: 0m 53s
Train Loss: 2.04878068939209 | Train Acc: 31.016001105308533%
Test Loss: 2.046772624206543 | Test Acc: 31.439998745918274%
Epoch: 9 | Epoch Time: 0m 53s
Train Loss: 1.9920229229736328 | Train Acc: 32.97800123691559%
Test Loss: 1.9896535995483398 | Test Acc: 33.52999985218048%
Epoch: 10 | Epoch Time: 0m 52s
Train Loss: 1.9408414416503905 | Train Acc: 34.42600071430206%
Test Loss: 1.938737303161621 | Test Acc: 34.76000130176544%
Epoch: 11 | Epoch Time: 0m 52s
Train Loss: 1.8898629864501952 | Train Acc: 35.89800000190735%
Test Loss: 1.8880211868286132 | Test Acc: 35.9499990940094%
Epoch: 12 | Epoch Time: 0m 54s
Train Loss: 1.8486409219360351 | Train Acc: 36.62799894809723%
Test Loss: 1.8470593673706055 | Test Acc: 36.809998750686646%
Epoch: 13 | Epoch Time: 0m 53s
Train Loss: 1.8097701373291015 | Train Acc: 37.36400008201599%
Test Loss: 1.8080871719360352 | Test Acc: 37.619999051094055%
Epoch: 14 | Epoch Time: 0m 52s
Train Loss: 1.7775972857666016 | Train Acc: 37.950000166893005%
Test Loss: 1.7757877975463867 | Test Acc: 37.99999952316284%
Epoch: 15 | Epoch Time: 0m 52s
Train Loss: 1.7395088189697265 | Train Acc: 38.80999982357025%
Test Loss: 1.7384042098999024 | Test Acc: 39.1400009393692%
Epoch: 16 | Epoch Time: 0m 53s
Train Loss: 1.7197731896972657 | Train Acc: 38.71200084686279%
Test Loss: 1.718228594970703 | Test Acc: 38.920000195503235%
Epoch: 17 | Epoch Time: 0m 52s
Train Loss: 1.7051086837768554 | Train Acc: 38.881999254226685%
Test Loss: 1.7038300506591797 | Test Acc: 39.1400009393692%
Epoch: 18 | Epoch Time: 0m 52s
Train Loss: 1.6694378317260743 | Train Acc: 39.92199897766113%
Test Loss: 1.6695079467773437 | Test Acc: 40.09000062942505%
Epoch: 19 | Epoch Time: 0m 52s
Train Loss: 1.6558576376342773 | Train Acc: 40.09999930858612%
Test Loss: 1.6557793243408203 | Test Acc: 40.27000069618225%
Epoch: 20 | Epoch Time: 0m 48s
Train Loss: 1.6437401705932617 | Train Acc: 40.78400135040283%
Test Loss: 1.6439300735473632 | Test Acc: 40.869998931884766%
Epoch: 21 | Epoch Time: 0m 49s
Train Loss: 1.6326503042602538 | Train Acc: 40.786001086235046%
Test Loss: 1.6339097640991211 | Test Acc: 40.84999859333038%
Epoch: 22 | Epoch Time: 0m 52s
Train Loss: 1.6600426974487306 | Train Acc: 39.719998836517334%
Test Loss: 1.6619325363159179 | Test Acc: 40.0299996137619%
Epoch: 23 | Epoch Time: 0m 52s
Train Loss: 1.64026481048584 | Train Acc: 40.76400101184845%
Test Loss: 1.6426177215576172 | Test Acc: 40.72999954223633%
Epoch: 24 | Epoch Time: 0m 52s
Train Loss: 1.621497438659668 | Train Acc: 41.40599966049194%
Test Loss: 1.6251374801635743 | Test Acc: 41.53999984264374%
Epoch: 25 | Epoch Time: 0m 52s
Train Loss: 1.6117185095214843 | Train Acc: 42.024001479148865%
Test Loss: 1.6160660888671874 | Test Acc: 41.94999933242798%
Epoch: 26 | Epoch Time: 0m 52s
Train Loss: 1.6194393582153321 | Train Acc: 41.95399880409241%
Test Loss: 1.6250518356323242 | Test Acc: 41.71000123023987%
Epoch: 27 | Epoch Time: 0m 53s
Train Loss: 1.6197473287963866 | Train Acc: 41.868001222610474%
Test Loss: 1.626231948852539 | Test Acc: 41.769999265670776%
Epoch: 28 | Epoch Time: 0m 53s
Train Loss: 1.626224958190918 | Train Acc: 41.947999596595764%
