Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 5, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Wed May  8 13:00:48 2024]======================
Epoch: 1 | Epoch Time: 0m 49s
Train Loss: 2.2953397900390624 | Train Acc: 10.100000351667404%
Test Loss: 2.2952260055541993 | Test Acc: 10.130000114440918%
Epoch: 2 | Epoch Time: 0m 42s
Train Loss: 2.278807134399414 | Train Acc: 17.820000648498535%
Test Loss: 2.27854533996582 | Test Acc: 18.00999939441681%
Epoch: 3 | Epoch Time: 0m 42s
Train Loss: 2.250796424560547 | Train Acc: 24.230000376701355%
Test Loss: 2.250297001647949 | Test Acc: 25.0%
Epoch: 4 | Epoch Time: 0m 41s
Train Loss: 2.2125641268920897 | Train Acc: 28.115999698638916%
Test Loss: 2.211834770202637 | Test Acc: 28.760001063346863%
Epoch: 5 | Epoch Time: 0m 40s
Train Loss: 2.167238808898926 | Train Acc: 30.93000054359436%
Test Loss: 2.1661810775756836 | Test Acc: 30.979999899864197%
Epoch: 6 | Epoch Time: 0m 39s
Train Loss: 2.1195691760253905 | Train Acc: 32.61600136756897%
Test Loss: 2.1180864273071287 | Test Acc: 32.919999957084656%
Epoch: 7 | Epoch Time: 0m 40s
Train Loss: 2.0703165393066407 | Train Acc: 33.809998631477356%
Test Loss: 2.068160202026367 | Test Acc: 33.719998598098755%
Epoch: 8 | Epoch Time: 0m 42s
Train Loss: 2.0196852059936523 | Train Acc: 34.66599881649017%
Test Loss: 2.0169705978393555 | Test Acc: 34.769999980926514%
Epoch: 9 | Epoch Time: 0m 40s
Train Loss: 1.9697759237670898 | Train Acc: 35.34800112247467%
Test Loss: 1.9664354827880859 | Test Acc: 35.429999232292175%
Epoch: 10 | Epoch Time: 0m 40s
Train Loss: 1.9211238793945313 | Train Acc: 36.344000697135925%
Test Loss: 1.9176786895751954 | Test Acc: 36.68999969959259%
Epoch: 11 | Epoch Time: 0m 40s
Train Loss: 1.8781963095092773 | Train Acc: 36.90199851989746%
Test Loss: 1.8746075607299804 | Test Acc: 37.2299998998642%
Epoch: 12 | Epoch Time: 0m 40s
Train Loss: 1.8366476818847657 | Train Acc: 37.55800127983093%
Test Loss: 1.8328602020263671 | Test Acc: 38.019999861717224%
Epoch: 13 | Epoch Time: 0m 41s
Train Loss: 1.795563226928711 | Train Acc: 38.332000374794006%
Test Loss: 1.791793490600586 | Test Acc: 38.839998841285706%
Epoch: 14 | Epoch Time: 0m 39s
Train Loss: 1.7640556399536134 | Train Acc: 39.02199864387512%
Test Loss: 1.7602129241943358 | Test Acc: 39.239999651908875%
Epoch: 15 | Epoch Time: 0m 37s
Train Loss: 1.7329599560546876 | Train Acc: 39.621999859809875%
Test Loss: 1.7292173446655272 | Test Acc: 39.739999175071716%
