Namespace(action=5, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 10, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 15:26:56 2024]======================
Epoch: 1 | Epoch Time: 0m 46s
Train Loss: 2.2869941952514647 | Train Acc: 8.463999629020691%
Test Loss: 2.2870975494384767 | Test Acc: 8.229999989271164%
Epoch: 2 | Epoch Time: 0m 47s
Train Loss: 2.1989666806030272 | Train Acc: 10.19200012087822%
Test Loss: 2.198063668823242 | Test Acc: 9.880000352859497%
Epoch: 3 | Epoch Time: 0m 47s
Train Loss: 2.2049440396118163 | Train Acc: 10.304000228643417%
Test Loss: 2.202596371459961 | Test Acc: 10.580000281333923%
Epoch: 4 | Epoch Time: 0m 47s
Train Loss: 2.258557300415039 | Train Acc: 10.04600003361702%
Test Loss: 2.2563988525390624 | Test Acc: 9.82000008225441%
Epoch: 5 | Epoch Time: 0m 47s
Train Loss: 2.329510108947754 | Train Acc: 9.595999866724014%
Test Loss: 2.3280502456665038 | Test Acc: 9.4200000166893%
Epoch: 6 | Epoch Time: 0m 48s
Train Loss: 2.4009591326904296 | Train Acc: 9.121999889612198%
Test Loss: 2.3997964462280272 | Test Acc: 9.099999815225601%
Epoch: 7 | Epoch Time: 0m 47s
Train Loss: 2.5008309259033203 | Train Acc: 8.653999865055084%
Test Loss: 2.4987060089111326 | Test Acc: 8.749999850988388%
Epoch: 8 | Epoch Time: 0m 47s
Train Loss: 2.573637926635742 | Train Acc: 8.594000339508057%
Test Loss: 2.5714456573486326 | Test Acc: 8.77000018954277%
Epoch: 9 | Epoch Time: 0m 48s
Train Loss: 2.6390967181396485 | Train Acc: 7.791999727487564%
Test Loss: 2.6353127960205076 | Test Acc: 7.970000058412552%
Epoch: 10 | Epoch Time: 0m 48s
Train Loss: 2.770305764770508 | Train Acc: 7.565999776124954%
Test Loss: 2.767036264038086 | Test Acc: 7.890000194311142%
Epoch: 11 | Epoch Time: 0m 55s
Train Loss: 2.8463545700073243 | Train Acc: 7.474000006914139%
Test Loss: 2.8443703369140625 | Test Acc: 7.720000296831131%
Epoch: 12 | Epoch Time: 2m 9s
Train Loss: 3.0236106884765626 | Train Acc: 7.2860002517700195%
Test Loss: 3.021903732299805 | Test Acc: 7.5599998235702515%
Epoch: 13 | Epoch Time: 2m 9s
Train Loss: 3.068017575073242 | Train Acc: 7.069999724626541%
Test Loss: 3.0685110748291016 | Test Acc: 7.450000196695328%
Epoch: 14 | Epoch Time: 2m 2s
Train Loss: 3.3016440313720703 | Train Acc: 7.044000178575516%
