Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 10, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 06:56:44 2024]======================
Epoch: 1 | Epoch Time: 0m 38s
Train Loss: 2.2920568594360353 | Train Acc: 10.127999633550644%
Test Loss: 2.2922387420654298 | Test Acc: 10.189999639987946%
Epoch: 2 | Epoch Time: 0m 48s
Train Loss: 2.2700885333251954 | Train Acc: 19.62199956178665%
Test Loss: 2.270221710205078 | Test Acc: 19.32000070810318%
Epoch: 3 | Epoch Time: 0m 46s
Train Loss: 2.2377141906738283 | Train Acc: 24.512000381946564%
Test Loss: 2.2376743148803713 | Test Acc: 24.650000035762787%
Epoch: 4 | Epoch Time: 0m 47s
Train Loss: 2.194595485534668 | Train Acc: 27.91999876499176%
Test Loss: 2.194513801574707 | Test Acc: 28.029999136924744%
Epoch: 5 | Epoch Time: 0m 48s
Train Loss: 2.148222471008301 | Train Acc: 28.953999280929565%
Test Loss: 2.1476732040405273 | Test Acc: 29.12999987602234%
Epoch: 6 | Epoch Time: 0m 51s
Train Loss: 2.1053256369018554 | Train Acc: 29.27199900150299%
Test Loss: 2.1039209976196287 | Test Acc: 29.8799991607666%
Epoch: 7 | Epoch Time: 0m 45s
Train Loss: 2.0542661709594725 | Train Acc: 30.69399893283844%
Test Loss: 2.052322103881836 | Test Acc: 30.66999912261963%
Epoch: 8 | Epoch Time: 0m 47s
Train Loss: 2.0147243740844725 | Train Acc: 31.867998838424683%
Test Loss: 2.0124255172729493 | Test Acc: 31.88999891281128%
Epoch: 9 | Epoch Time: 0m 49s
Train Loss: 1.9695817498779298 | Train Acc: 32.18199908733368%
Test Loss: 1.9670998031616211 | Test Acc: 31.839999556541443%
Epoch: 10 | Epoch Time: 0m 48s
Train Loss: 1.9340185647583008 | Train Acc: 33.14000070095062%
Test Loss: 1.9311648223876954 | Test Acc: 33.14000070095062%
Epoch: 11 | Epoch Time: 0m 45s
Train Loss: 1.9039193377685546 | Train Acc: 33.90600085258484%
Test Loss: 1.9005699020385742 | Test Acc: 33.59000086784363%
Epoch: 12 | Epoch Time: 0m 47s
Train Loss: 1.8659332357788085 | Train Acc: 34.87800061702728%
Test Loss: 1.8626139862060547 | Test Acc: 34.83999967575073%
Epoch: 13 | Epoch Time: 0m 48s
Train Loss: 1.8335593280029296 | Train Acc: 35.78000068664551%
Test Loss: 1.830074887084961 | Test Acc: 36.1299991607666%
Epoch: 14 | Epoch Time: 0m 50s
Train Loss: 1.8028382382202148 | Train Acc: 36.48200035095215%
Test Loss: 1.7995827331542968 | Test Acc: 36.62999868392944%
Epoch: 15 | Epoch Time: 0m 44s
Train Loss: 1.7736225128173828 | Train Acc: 37.00399994850159%
Test Loss: 1.7705333572387696 | Test Acc: 37.00000047683716%
Epoch: 16 | Epoch Time: 0m 47s
Train Loss: 1.7501780795288087 | Train Acc: 37.72000074386597%
Test Loss: 1.7475160949707031 | Test Acc: 37.81999945640564%
Epoch: 17 | Epoch Time: 0m 48s
Train Loss: 1.7258126174926758 | Train Acc: 38.39200139045715%
Test Loss: 1.723517268371582 | Test Acc: 38.06000053882599%
Epoch: 18 | Epoch Time: 0m 51s
Train Loss: 1.6996568026733399 | Train Acc: 39.052000641822815%
Test Loss: 1.698441717529297 | Test Acc: 38.839998841285706%
Epoch: 19 | Epoch Time: 0m 45s
Train Loss: 1.6787594760131836 | Train Acc: 39.8140013217926%
Test Loss: 1.6780049209594727 | Test Acc: 39.52000141143799%
Epoch: 20 | Epoch Time: 0m 47s
Train Loss: 1.6704337158203124 | Train Acc: 39.84400033950806%
Test Loss: 1.6700158508300782 | Test Acc: 39.37999904155731%
Epoch: 21 | Epoch Time: 0m 47s
Train Loss: 1.6536261962890626 | Train Acc: 40.470001101493835%
Test Loss: 1.654626496887207 | Test Acc: 40.230000019073486%
Epoch: 22 | Epoch Time: 0m 50s
Train Loss: 1.6444873727416993 | Train Acc: 40.84799885749817%
Test Loss: 1.6464435287475585 | Test Acc: 40.43999910354614%
Epoch: 23 | Epoch Time: 0m 44s
Train Loss: 1.6355735833740235 | Train Acc: 41.00799858570099%
Test Loss: 1.6375288162231445 | Test Acc: 40.74000120162964%
Epoch: 24 | Epoch Time: 0m 46s
Train Loss: 1.6175640545654297 | Train Acc: 41.61199927330017%
Test Loss: 1.6208683654785156 | Test Acc: 41.440001130104065%
Epoch: 25 | Epoch Time: 0m 46s
Train Loss: 1.6052787316894532 | Train Acc: 42.052000761032104%
Test Loss: 1.609307582092285 | Test Acc: 41.89000129699707%
Epoch: 26 | Epoch Time: 0m 49s
Train Loss: 1.5968179962158202 | Train Acc: 42.372000217437744%
Test Loss: 1.6017742767333984 | Test Acc: 42.37000048160553%
Epoch: 27 | Epoch Time: 0m 47s
Train Loss: 1.5996581497192384 | Train Acc: 42.493999004364014%
Test Loss: 1.6049939651489258 | Test Acc: 42.329999804496765%
Epoch: 28 | Epoch Time: 0m 45s
Train Loss: 1.6023848178100586 | Train Acc: 42.5680011510849%
Test Loss: 1.6092859420776366 | Test Acc: 42.12999939918518%
Epoch: 29 | Epoch Time: 0m 45s
Train Loss: 1.6086612261962892 | Train Acc: 42.28599965572357%
Test Loss: 1.6172636840820314 | Test Acc: 41.85999929904938%
Epoch: 30 | Epoch Time: 0m 47s
Train Loss: 1.615863454284668 | Train Acc: 42.410001158714294%
Test Loss: 1.627345280456543 | Test Acc: 41.920000314712524%
Epoch: 31 | Epoch Time: 0m 48s
Train Loss: 1.6108189566040039 | Train Acc: 43.08600127696991%
Test Loss: 1.6231924484252929 | Test Acc: 42.399999499320984%
Epoch: 32 | Epoch Time: 0m 44s
Train Loss: 1.6205366268920898 | Train Acc: 42.92599856853485%
Test Loss: 1.633591961669922 | Test Acc: 42.250001430511475%
Epoch: 33 | Epoch Time: 0m 45s
Train Loss: 1.619033215637207 | Train Acc: 43.17199885845184%
Test Loss: 1.6327442901611329 | Test Acc: 42.44999885559082%
Epoch: 34 | Epoch Time: 0m 46s
Train Loss: 1.6272108142089843 | Train Acc: 43.285998702049255%
Test Loss: 1.6419688049316405 | Test Acc: 42.730000615119934%
Epoch: 35 | Epoch Time: 0m 47s
Train Loss: 1.6399483438110352 | Train Acc: 43.28199923038483%
Test Loss: 1.6559608673095703 | Test Acc: 42.71000027656555%
Epoch: 36 | Epoch Time: 0m 43s
Train Loss: 1.667720531616211 | Train Acc: 43.70200037956238%
Test Loss: 1.686259684753418 | Test Acc: 43.09999942779541%
Epoch: 37 | Epoch Time: 0m 45s
Train Loss: 1.6732561544799804 | Train Acc: 43.59599947929382%
Test Loss: 1.690038703918457 | Test Acc: 42.91999936103821%
Epoch: 38 | Epoch Time: 0m 45s
Train Loss: 1.6882454788208008 | Train Acc: 43.75999867916107%
Test Loss: 1.7072023696899414 | Test Acc: 43.16999912261963%
Epoch: 39 | Epoch Time: 0m 48s
Train Loss: 1.7148905722045897 | Train Acc: 44.08000111579895%
Test Loss: 1.7368834838867186 | Test Acc: 43.52000057697296%
Epoch: 40 | Epoch Time: 0m 44s
Train Loss: 1.7538942947387695 | Train Acc: 44.13000047206879%
Test Loss: 1.7785129333496095 | Test Acc: 43.68999898433685%
Epoch: 41 | Epoch Time: 0m 46s
Train Loss: 1.7854673092651367 | Train Acc: 44.12800073623657%
Test Loss: 1.812009996032715 | Test Acc: 43.57999861240387%
Epoch: 42 | Epoch Time: 0m 45s
