Namespace(action=5, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'lf', 'defence': 'raw', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 5.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 13:37:16 2024]======================
Epoch: 1 | Epoch Time: 1m 0s
Train Loss: 2.281394685974121 | Train Acc: 13.451999425888062%
Test Loss: 2.2815201446533204 | Test Acc: 13.519999384880066%
Epoch: 2 | Epoch Time: 0m 55s
Train Loss: 2.2105387579345703 | Train Acc: 12.943999469280243%
Test Loss: 2.21007527923584 | Test Acc: 12.649999558925629%
Epoch: 3 | Epoch Time: 0m 54s
Train Loss: 2.132291572265625 | Train Acc: 11.733999848365784%
Test Loss: 2.1320783584594727 | Test Acc: 11.980000138282776%
Epoch: 4 | Epoch Time: 0m 59s
Train Loss: 2.0896070501708985 | Train Acc: 11.537999659776688%
Test Loss: 2.0897953872680666 | Test Acc: 11.469999700784683%
Epoch: 5 | Epoch Time: 0m 58s
Train Loss: 2.0771496072387694 | Train Acc: 11.236000061035156%
Test Loss: 2.0776532913208006 | Test Acc: 11.270000040531158%
Epoch: 6 | Epoch Time: 0m 54s
Train Loss: 2.088810177001953 | Train Acc: 10.617999732494354%
Test Loss: 2.089806748962402 | Test Acc: 10.540000349283218%
Epoch: 7 | Epoch Time: 0m 55s
Train Loss: 2.105079842224121 | Train Acc: 10.266000032424927%
Test Loss: 2.106259899902344 | Test Acc: 10.109999775886536%
Epoch: 8 | Epoch Time: 0m 56s
Train Loss: 2.1303380532836913 | Train Acc: 9.808000177145004%
Test Loss: 2.1317153869628904 | Test Acc: 9.610000252723694%
Epoch: 9 | Epoch Time: 0m 53s
Train Loss: 2.1618643887329103 | Train Acc: 9.549999982118607%
Test Loss: 2.163390936279297 | Test Acc: 9.4200000166893%
Epoch: 10 | Epoch Time: 0m 54s
Train Loss: 2.1792693872070314 | Train Acc: 9.442000091075897%
Test Loss: 2.1802088439941407 | Test Acc: 9.390000253915787%
Epoch: 11 | Epoch Time: 0m 57s
Train Loss: 2.2123891552734376 | Train Acc: 9.161999821662903%
Test Loss: 2.213088166809082 | Test Acc: 9.030000120401382%
Epoch: 12 | Epoch Time: 0m 56s
Train Loss: 2.230823137207031 | Train Acc: 9.241999685764313%
Test Loss: 2.2310215759277345 | Test Acc: 9.359999746084213%
Epoch: 13 | Epoch Time: 0m 58s
Train Loss: 2.2617554022216795 | Train Acc: 8.724000304937363%
Test Loss: 2.2616820465087892 | Test Acc: 8.730000257492065%
Epoch: 14 | Epoch Time: 0m 59s
Train Loss: 2.2820922668457033 | Train Acc: 8.498000353574753%
Test Loss: 2.2821991790771485 | Test Acc: 8.51999968290329%
Epoch: 15 | Epoch Time: 1m 3s
Train Loss: 2.3096761877441407 | Train Acc: 8.523999899625778%
Test Loss: 2.3102778961181643 | Test Acc: 8.640000224113464%
Epoch: 16 | Epoch Time: 1m 1s
Train Loss: 2.3364871224975587 | Train Acc: 8.26599970459938%
Test Loss: 2.3376135665893556 | Test Acc: 8.659999817609787%
Epoch: 17 | Epoch Time: 1m 4s
Train Loss: 2.3613173678588866 | Train Acc: 8.414000272750854%
Test Loss: 2.363444161987305 | Test Acc: 9.070000052452087%
Epoch: 18 | Epoch Time: 1m 4s
Train Loss: 2.3984549737548826 | Train Acc: 8.22800025343895%
Test Loss: 2.40190340423584 | Test Acc: 8.699999749660492%
Epoch: 19 | Epoch Time: 0m 59s
Train Loss: 2.426304819030762 | Train Acc: 8.088000118732452%
Test Loss: 2.430432827758789 | Test Acc: 8.370000123977661%
Epoch: 20 | Epoch Time: 1m 3s
Train Loss: 2.457213786010742 | Train Acc: 8.09200033545494%
Test Loss: 2.462414306640625 | Test Acc: 8.429999649524689%
Epoch: 21 | Epoch Time: 1m 3s
Train Loss: 2.470294245605469 | Train Acc: 8.113999664783478%
Test Loss: 2.4761661056518554 | Test Acc: 8.500000089406967%
Epoch: 22 | Epoch Time: 1m 2s
Train Loss: 2.54146776550293 | Train Acc: 7.880000025033951%
Test Loss: 2.547854768371582 | Test Acc: 8.129999786615372%
Epoch: 23 | Epoch Time: 1m 2s
Train Loss: 2.563713805541992 | Train Acc: 7.934000343084335%
Test Loss: 2.5712953216552736 | Test Acc: 8.299999684095383%
Epoch: 24 | Epoch Time: 1m 3s
Train Loss: 2.6149523196411133 | Train Acc: 7.78999999165535%
Test Loss: 2.6231284271240236 | Test Acc: 8.150000125169754%
Epoch: 25 | Epoch Time: 1m 0s
Train Loss: 2.682269338989258 | Train Acc: 7.722000032663345%
Test Loss: 2.691829656982422 | Test Acc: 8.049999922513962%
Epoch: 26 | Epoch Time: 0m 56s
Train Loss: 2.7346330770874023 | Train Acc: 7.92199969291687%
Test Loss: 2.7449659912109374 | Test Acc: 8.079999685287476%
Epoch: 27 | Epoch Time: 1m 0s
Train Loss: 2.8004120639038086 | Train Acc: 7.875999808311462%
Test Loss: 2.8114647537231447 | Test Acc: 8.070000261068344%
Epoch: 28 | Epoch Time: 1m 0s
Train Loss: 2.8312486834716797 | Train Acc: 7.943999767303467%
Test Loss: 2.842496667480469 | Test Acc: 8.209999650716782%
Epoch: 29 | Epoch Time: 0m 59s
Train Loss: 2.930993055419922 | Train Acc: 7.8199997544288635%
Test Loss: 2.943535739135742 | Test Acc: 8.169999718666077%
Epoch: 30 | Epoch Time: 0m 59s
Train Loss: 2.977546792297363 | Train Acc: 7.912000268697739%
Test Loss: 2.9905754364013672 | Test Acc: 8.389999717473984%
Epoch: 31 | Epoch Time: 0m 59s
Train Loss: 3.0240482135009765 | Train Acc: 8.113999664783478%
Test Loss: 3.0376290618896484 | Test Acc: 8.449999988079071%
Epoch: 32 | Epoch Time: 0m 59s
Train Loss: 3.1269953649902344 | Train Acc: 8.154000341892242%
Test Loss: 3.1413801239013672 | Test Acc: 8.209999650716782%
Epoch: 33 | Epoch Time: 0m 58s
Train Loss: 3.231703267211914 | Train Acc: 8.182000368833542%
Test Loss: 3.2483423309326174 | Test Acc: 8.250000327825546%
Epoch: 34 | Epoch Time: 0m 59s
Train Loss: 3.367322951660156 | Train Acc: 8.173999935388565%
Test Loss: 3.38462707824707 | Test Acc: 8.209999650716782%
Epoch: 35 | Epoch Time: 0m 58s
Train Loss: 3.4890511700439455 | Train Acc: 8.17599967122078%
Test Loss: 3.507729342651367 | Test Acc: 8.129999786615372%
Epoch: 36 | Epoch Time: 0m 59s
Train Loss: 3.516345225830078 | Train Acc: 8.243999630212784%
Test Loss: 3.536192727661133 | Test Acc: 8.139999955892563%
Epoch: 37 | Epoch Time: 1m 0s
Train Loss: 3.5979397595214846 | Train Acc: 8.258000016212463%
Test Loss: 3.619978823852539 | Test Acc: 8.20000022649765%
Epoch: 38 | Epoch Time: 0m 59s
Train Loss: 3.6803680859375 | Train Acc: 8.299999684095383%
Test Loss: 3.703341369628906 | Test Acc: 8.240000158548355%
Epoch: 39 | Epoch Time: 0m 58s
Train Loss: 3.7034199530029297 | Train Acc: 8.337999880313873%
Test Loss: 3.7286910736083985 | Test Acc: 8.269999921321869%
Epoch: 40 | Epoch Time: 0m 59s
Train Loss: 3.737492119140625 | Train Acc: 8.433999866247177%
Test Loss: 3.764246957397461 | Test Acc: 8.35999995470047%
Epoch: 41 | Epoch Time: 0m 48s
Train Loss: 3.763367930908203 | Train Acc: 8.579999953508377%
Test Loss: 3.7927202545166017 | Test Acc: 8.51999968290329%
Epoch: 42 | Epoch Time: 0m 49s
Train Loss: 3.8145648107910155 | Train Acc: 8.68000015616417%
Test Loss: 3.8452690063476562 | Test Acc: 8.69000032544136%
Epoch: 43 | Epoch Time: 0m 49s
Train Loss: 3.839286703491211 | Train Acc: 8.724000304937363%
Test Loss: 3.872963824462891 | Test Acc: 8.699999749660492%
Epoch: 44 | Epoch Time: 0m 49s
Train Loss: 3.8342034271240233 | Train Acc: 8.7459996342659%
Test Loss: 3.865855044555664 | Test Acc: 8.76000002026558%
Epoch: 45 | Epoch Time: 0m 48s
Train Loss: 3.8706483306884767 | Train Acc: 8.82200002670288%
Test Loss: 3.90517975769043 | Test Acc: 8.810000121593475%
Epoch: 46 | Epoch Time: 0m 47s
Train Loss: 3.92082408203125 | Train Acc: 8.810000121593475%
Test Loss: 3.95712966003418 | Test Acc: 8.85000005364418%
Epoch: 47 | Epoch Time: 0m 48s
Train Loss: 3.8944152569580077 | Train Acc: 8.987999707460403%
Test Loss: 3.931546917724609 | Test Acc: 8.959999680519104%
Epoch: 48 | Epoch Time: 0m 48s
Train Loss: 3.9132663177490232 | Train Acc: 8.980000019073486%
Test Loss: 3.9491735748291017 | Test Acc: 8.950000256299973%
Epoch: 49 | Epoch Time: 0m 49s
Train Loss: 3.9228204223632814 | Train Acc: 9.003999829292297%
Test Loss: 3.960254608154297 | Test Acc: 8.990000188350677%
Epoch: 50 | Epoch Time: 0m 48s
Train Loss: 3.916862515869141 | Train Acc: 9.189999848604202%
Test Loss: 3.9557302764892577 | Test Acc: 9.149999916553497%
Epoch: 51 | Epoch Time: 0m 48s
Train Loss: 3.9242137322998047 | Train Acc: 9.228000044822693%
Test Loss: 3.9662256866455077 | Test Acc: 9.08999964594841%
Epoch: 52 | Epoch Time: 0m 47s
Train Loss: 3.9624164434814455 | Train Acc: 9.266000241041183%
Test Loss: 4.005744415283203 | Test Acc: 9.179999679327011%
Epoch: 53 | Epoch Time: 0m 49s
Train Loss: 4.000728374633789 | Train Acc: 9.285999834537506%
Test Loss: 4.0440434631347655 | Test Acc: 9.210000187158585%
Epoch: 54 | Epoch Time: 0m 48s
Train Loss: 3.9720828845214844 | Train Acc: 9.459999948740005%
Test Loss: 4.0148862335205076 | Test Acc: 9.529999643564224%
Epoch: 55 | Epoch Time: 0m 47s
Train Loss: 3.946756509399414 | Train Acc: 9.557999670505524%
Test Loss: 3.990922152709961 | Test Acc: 9.650000184774399%
Epoch: 56 | Epoch Time: 0m 56s
Train Loss: 3.9715696630859374 | Train Acc: 9.585999697446823%
Test Loss: 4.014145950317383 | Test Acc: 9.679999947547913%
Epoch: 57 | Epoch Time: 0m 56s
Train Loss: 3.8885285479736327 | Train Acc: 9.818000346422195%
Test Loss: 3.9317152069091796 | Test Acc: 9.939999878406525%
Epoch: 58 | Epoch Time: 0m 57s
Train Loss: 3.946948096923828 | Train Acc: 9.814000129699707%
Test Loss: 3.989754428100586 | Test Acc: 10.029999911785126%
Epoch: 59 | Epoch Time: 0m 57s
Train Loss: 3.938640831298828 | Train Acc: 9.969999641180038%
Test Loss: 3.983356384277344 | Test Acc: 10.019999742507935%
Epoch: 60 | Epoch Time: 0m 55s
Train Loss: 3.9674230712890624 | Train Acc: 9.957999736070633%
Test Loss: 4.014152005004883 | Test Acc: 10.019999742507935%
Epoch: 61 | Epoch Time: 0m 57s
Train Loss: 3.9821127001953127 | Train Acc: 9.92799997329712%
Test Loss: 4.030437188720703 | Test Acc: 10.000000149011612%
Epoch: 62 | Epoch Time: 0m 48s
Train Loss: 3.9150470263671875 | Train Acc: 10.16400009393692%
Test Loss: 3.9617167236328124 | Test Acc: 10.270000249147415%
Epoch: 63 | Epoch Time: 0m 47s
Train Loss: 3.9309612799072267 | Train Acc: 10.100000351667404%
Test Loss: 3.9785539978027344 | Test Acc: 10.379999876022339%
Epoch: 64 | Epoch Time: 0m 47s
Train Loss: 3.93110666015625 | Train Acc: 10.242000222206116%
Test Loss: 3.9776976196289064 | Test Acc: 10.409999638795853%
Epoch: 65 | Epoch Time: 0m 47s
Train Loss: 3.9056467755126953 | Train Acc: 10.36200001835823%
