Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 5.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 05:37:00 2024]======================
Epoch: 1 | Epoch Time: 0m 38s
Train Loss: 2.2994832846069335 | Train Acc: 10.474000126123428%
Test Loss: 2.2995111404418944 | Test Acc: 10.589999705553055%
Epoch: 2 | Epoch Time: 0m 37s
Train Loss: 2.288532191772461 | Train Acc: 14.156000316143036%
Test Loss: 2.2885427703857424 | Test Acc: 14.309999346733093%
Epoch: 3 | Epoch Time: 0m 38s
Train Loss: 2.2689935440063476 | Train Acc: 17.46000051498413%
Test Loss: 2.268970509338379 | Test Acc: 17.38000065088272%
Epoch: 4 | Epoch Time: 0m 38s
Train Loss: 2.242438363952637 | Train Acc: 22.543999552726746%
Test Loss: 2.2423709442138673 | Test Acc: 22.849999368190765%
Epoch: 5 | Epoch Time: 0m 38s
Train Loss: 2.2087677316284178 | Train Acc: 26.78000032901764%
Test Loss: 2.2086075439453126 | Test Acc: 27.250000834465027%
Epoch: 6 | Epoch Time: 0m 38s
Train Loss: 2.1712601846313477 | Train Acc: 29.109999537467957%
Test Loss: 2.1707818725585937 | Test Acc: 29.030001163482666%
Epoch: 7 | Epoch Time: 0m 37s
Train Loss: 2.1335182815551756 | Train Acc: 30.05400002002716%
Test Loss: 2.1323969985961915 | Test Acc: 30.390000343322754%
Epoch: 8 | Epoch Time: 0m 38s
Train Loss: 2.086553678894043 | Train Acc: 31.384000182151794%
Test Loss: 2.0852102478027343 | Test Acc: 31.90999925136566%
Epoch: 9 | Epoch Time: 0m 38s
Train Loss: 2.0452392318725585 | Train Acc: 31.661999225616455%
Test Loss: 2.043358404541016 | Test Acc: 32.109999656677246%
Epoch: 10 | Epoch Time: 0m 37s
Train Loss: 1.9946533999633789 | Train Acc: 32.495999336242676%
Test Loss: 1.9927191970825195 | Test Acc: 33.090001344680786%
Epoch: 11 | Epoch Time: 0m 38s
Train Loss: 1.9428185885620117 | Train Acc: 33.68600010871887%
Test Loss: 1.941268147277832 | Test Acc: 34.220001101493835%
Epoch: 12 | Epoch Time: 0m 38s
Train Loss: 1.9165502169799804 | Train Acc: 32.989999651908875%
Test Loss: 1.9152857604980469 | Test Acc: 33.61000120639801%
Epoch: 13 | Epoch Time: 0m 38s
