Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:44:43 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:45:09 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:45:37 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:48:12 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:48:38 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:50:15 2024]======================
Epoch: 1 | Epoch Time: 0m 55s
Train Loss: 2.2999412271118165 | Train Acc: 1000.0%
Test Loss: 2.2999161151885987 | Test Acc: 1000.0%
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 1000, 'batch_size': 128, 'client_lr': 0.01, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 10}
======================Start Train Model [Fri May  3 14:52:09 2024]======================
Epoch: 1 | Epoch Time: 0m 59s
Train Loss: 2.2999412271118165 | Train Acc: 10.0%
Test Loss: 2.2999161151885987 | Test Acc: 10.0%
Epoch: 11 | Epoch Time: 0m 58s
Train Loss: 2.2236055355834963 | Train Acc: 21.196001052856445%
Test Loss: 2.222184042739868 | Test Acc: 20.900001525878906%
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 100, 'batch_size': 128, 'client_lr': 0.05, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Fri May  3 15:12:54 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 100, 'batch_size': 128, 'client_lr': 0.05, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Fri May  3 15:16:11 2024]======================
Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 100, 'batch_size': 128, 'client_lr': 0.05, 'server_lr': 0.1, 'load_ckpt': -1, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Fri May  3 15:17:41 2024]======================
Epoch: 1 | Epoch Time: 1m 3s
Train Loss: 2.301071721801758 | Train Acc: 10.0%
Test Loss: 2.301051280975342 | Test Acc: 10.0%
Epoch: 2 | Epoch Time: 1m 3s
Train Loss: 2.299804253540039 | Train Acc: 10.0%
Test Loss: 2.299774258041382 | Test Acc: 10.0%
Epoch: 3 | Epoch Time: 1m 3s
Train Loss: 2.2983862322998045 | Train Acc: 10.0%
Test Loss: 2.2983448154449464 | Test Acc: 10.0%
Epoch: 4 | Epoch Time: 1m 5s
Train Loss: 2.2967616659545897 | Train Acc: 10.0%
Test Loss: 2.296702970504761 | Test Acc: 10.0%
Epoch: 5 | Epoch Time: 1m 6s
Train Loss: 2.294862810974121 | Train Acc: 10.001999855041504%
Test Loss: 2.294781046295166 | Test Acc: 10.0%
Epoch: 6 | Epoch Time: 1m 6s
Train Loss: 2.2925875485229494 | Train Acc: 10.053999900817871%
Test Loss: 2.2924746967315675 | Test Acc: 10.050000190734863%
Epoch: 7 | Epoch Time: 1m 4s
Train Loss: 2.289815510253906 | Train Acc: 10.355999946594238%
Test Loss: 2.289663962173462 | Test Acc: 10.40000057220459%
Epoch: 8 | Epoch Time: 1m 3s
