Namespace(action=12, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 12, 'test_frequency': 1}
======================Start Train Model [Mon May  6 11:56:05 2024]======================
Epoch: 1 | Epoch Time: 1m 4s
Train Loss: 2.295249482421875 | Train Acc: 15.153999626636505%
Test Loss: 2.2951419357299803 | Test Acc: 15.219999849796295%
Epoch: 2 | Epoch Time: 1m 1s
Train Loss: 2.277204037475586 | Train Acc: 18.050000071525574%
Test Loss: 2.2768120391845703 | Test Acc: 18.310000002384186%
Epoch: 3 | Epoch Time: 1m 0s
Train Loss: 2.247544013671875 | Train Acc: 22.808000445365906%
Test Loss: 2.2467829452514647 | Test Acc: 23.409999907016754%
Epoch: 4 | Epoch Time: 1m 0s
Train Loss: 2.2111850796508787 | Train Acc: 25.053998827934265%
Test Loss: 2.209745719909668 | Test Acc: 25.56999921798706%
Epoch: 5 | Epoch Time: 0m 57s
Train Loss: 2.167091934814453 | Train Acc: 26.837998628616333%
Test Loss: 2.1648613662719725 | Test Acc: 27.219998836517334%
Epoch: 6 | Epoch Time: 0m 57s
Train Loss: 2.1249494342041015 | Train Acc: 27.952000498771667%
Test Loss: 2.121950686645508 | Test Acc: 28.690001368522644%
Epoch: 7 | Epoch Time: 0m 59s
Train Loss: 2.0777878857421874 | Train Acc: 28.676000237464905%
Test Loss: 2.073602296447754 | Test Acc: 29.080000519752502%
Epoch: 8 | Epoch Time: 0m 58s
Train Loss: 2.034821739807129 | Train Acc: 29.81800138950348%
Test Loss: 2.0300601608276367 | Test Acc: 30.540001392364502%
Epoch: 9 | Epoch Time: 0m 54s
Train Loss: 1.9846285568237305 | Train Acc: 31.200000643730164%
Test Loss: 1.9793256301879882 | Test Acc: 31.720000505447388%
Epoch: 10 | Epoch Time: 0m 57s
Train Loss: 1.9386878958129883 | Train Acc: 32.01000094413757%
Test Loss: 1.932523846435547 | Test Acc: 32.64000117778778%
Epoch: 11 | Epoch Time: 0m 59s
Train Loss: 1.904791234741211 | Train Acc: 32.59600102901459%
Test Loss: 1.8980844039916993 | Test Acc: 33.12999904155731%
Epoch: 12 | Epoch Time: 0m 59s
Train Loss: 1.8638278063964844 | Train Acc: 33.59600007534027%
Test Loss: 1.8562860137939454 | Test Acc: 34.02999937534332%
Epoch: 13 | Epoch Time: 1m 2s
Train Loss: 1.8318984927368165 | Train Acc: 34.36200022697449%
Test Loss: 1.8241055572509766 | Test Acc: 34.86999869346619%
Epoch: 14 | Epoch Time: 1m 13s
Train Loss: 1.7943958306884766 | Train Acc: 35.6220006942749%
Test Loss: 1.7867541290283202 | Test Acc: 36.37000024318695%
Epoch: 15 | Epoch Time: 1m 10s
Train Loss: 1.76016421875 | Train Acc: 36.371999979019165%
Test Loss: 1.752360464477539 | Test Acc: 37.11999952793121%
Epoch: 16 | Epoch Time: 1m 10s
Train Loss: 1.7447890228271485 | Train Acc: 36.792001128196716%
Test Loss: 1.7370854095458985 | Test Acc: 37.40000128746033%
Epoch: 17 | Epoch Time: 1m 9s
Train Loss: 1.7452114190673829 | Train Acc: 36.10999882221222%
Test Loss: 1.7375085739135743 | Test Acc: 37.18999922275543%
Epoch: 18 | Epoch Time: 1m 9s
Train Loss: 1.726487511291504 | Train Acc: 36.838001012802124%
Test Loss: 1.7180923446655274 | Test Acc: 37.65000104904175%
Epoch: 19 | Epoch Time: 1m 10s
Train Loss: 1.6977023950195314 | Train Acc: 37.91800141334534%
Test Loss: 1.689211961364746 | Test Acc: 38.26000094413757%
Epoch: 20 | Epoch Time: 1m 1s
Train Loss: 1.6928386572265626 | Train Acc: 38.067999482154846%
Test Loss: 1.6850163696289062 | Test Acc: 38.44999969005585%
Epoch: 21 | Epoch Time: 0m 58s
Train Loss: 1.6619720651245118 | Train Acc: 39.29600119590759%
Test Loss: 1.6534416793823241 | Test Acc: 39.86999988555908%
Epoch: 22 | Epoch Time: 0m 58s
Train Loss: 1.6420693118286134 | Train Acc: 40.007999539375305%
Test Loss: 1.634816389465332 | Test Acc: 40.700000524520874%
Epoch: 23 | Epoch Time: 0m 57s
Train Loss: 1.6295623190307618 | Train Acc: 40.459999442100525%
Test Loss: 1.6228806457519531 | Test Acc: 41.10000133514404%
Epoch: 24 | Epoch Time: 0m 56s
Train Loss: 1.6264066540527344 | Train Acc: 40.70200026035309%
Test Loss: 1.6207228713989257 | Test Acc: 41.4000004529953%
Epoch: 25 | Epoch Time: 0m 56s
Train Loss: 1.6239427465820313 | Train Acc: 41.172000765800476%
Test Loss: 1.6181483245849608 | Test Acc: 41.749998927116394%
Epoch: 26 | Epoch Time: 0m 58s
Train Loss: 1.6207476025390626 | Train Acc: 41.4000004529953%
Test Loss: 1.6153548461914062 | Test Acc: 42.03000068664551%
Epoch: 27 | Epoch Time: 0m 57s
Train Loss: 1.6109512255859375 | Train Acc: 41.868001222610474%
Test Loss: 1.6065984756469727 | Test Acc: 42.489999532699585%
Epoch: 28 | Epoch Time: 0m 56s
Train Loss: 1.6076734504699708 | Train Acc: 42.30799973011017%
Test Loss: 1.6050228973388672 | Test Acc: 42.96000003814697%
Epoch: 29 | Epoch Time: 0m 58s
Train Loss: 1.6242369067382814 | Train Acc: 42.26999878883362%
Test Loss: 1.6225504669189452 | Test Acc: 42.8600013256073%
Epoch: 30 | Epoch Time: 0m 57s
Train Loss: 1.6320108435058593 | Train Acc: 42.566001415252686%
Test Loss: 1.6316304931640624 | Test Acc: 42.9500013589859%
Epoch: 31 | Epoch Time: 0m 57s
Train Loss: 1.638253483581543 | Train Acc: 42.85399913787842%
Test Loss: 1.6398494140625 | Test Acc: 43.23999881744385%
Epoch: 32 | Epoch Time: 0m 57s
Train Loss: 1.6582760757446289 | Train Acc: 42.69799888134003%
Test Loss: 1.6608552627563478 | Test Acc: 42.750000953674316%
Epoch: 33 | Epoch Time: 0m 58s
Train Loss: 1.6559491564941407 | Train Acc: 42.60999858379364%
Test Loss: 1.6611672454833983 | Test Acc: 42.489999532699585%
Epoch: 34 | Epoch Time: 0m 57s
Train Loss: 1.6656168280029298 | Train Acc: 42.684000730514526%
Test Loss: 1.6721501174926758 | Test Acc: 42.42999851703644%
Epoch: 35 | Epoch Time: 0m 56s
Train Loss: 1.6839799090576173 | Train Acc: 42.3880010843277%
Test Loss: 1.6920673217773436 | Test Acc: 42.05000102519989%
Epoch: 36 | Epoch Time: 0m 59s
Train Loss: 1.7013640853881835 | Train Acc: 42.59200096130371%
Test Loss: 1.7100491439819336 | Test Acc: 42.53999888896942%
Epoch: 37 | Epoch Time: 0m 57s
Train Loss: 1.722491572265625 | Train Acc: 43.16000044345856%
Test Loss: 1.7340594375610352 | Test Acc: 42.890000343322754%
Epoch: 38 | Epoch Time: 0m 56s
Train Loss: 1.7511175048828125 | Train Acc: 43.421998620033264%
Test Loss: 1.763580647277832 | Test Acc: 42.910000681877136%
Epoch: 39 | Epoch Time: 1m 3s
Train Loss: 1.7971315612792969 | Train Acc: 43.32000017166138%
Test Loss: 1.8112552124023438 | Test Acc: 42.93999969959259%
Epoch: 40 | Epoch Time: 0m 59s
