Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:26:05 2024]======================
Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:31:21 2024]======================
Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:35:23 2024]======================
Namespace(action=3, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:37:07 2024]======================
Namespace(action=3, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:40:00 2024]======================
Namespace(action=3, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:41:32 2024]======================
Namespace(action=3, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:46:22 2024]======================
Namespace(action=3, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:51:02 2024]======================
Epoch: 1 | Epoch Time: 0m 49s
Train Loss: 2.295364351501465 | Train Acc: 14.305999875068665%
Test Loss: 2.295240510559082 | Test Acc: 14.419999718666077%
Epoch: 2 | Epoch Time: 0m 49s
Train Loss: 2.2809425485229493 | Train Acc: 14.249999821186066%
Test Loss: 2.280670118713379 | Test Acc: 14.139999449253082%
Namespace(action=3, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'raw', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 1.0, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Sun May  5 10:55:58 2024]======================
Epoch: 1 | Epoch Time: 0m 49s
Train Loss: 2.295364351501465 | Train Acc: 14.305999875068665%
Test Loss: 2.295240510559082 | Test Acc: 14.419999718666077%
Epoch: 2 | Epoch Time: 0m 48s
Train Loss: 2.278213395690918 | Train Acc: 16.71999990940094%
Test Loss: 2.277990090942383 | Test Acc: 16.57000035047531%
Epoch: 3 | Epoch Time: 0m 48s
Train Loss: 2.2491009356689453 | Train Acc: 20.645999908447266%
Test Loss: 2.248722659301758 | Test Acc: 20.46000063419342%
Epoch: 4 | Epoch Time: 0m 48s
Train Loss: 2.2110246142578127 | Train Acc: 25.473999977111816%
Test Loss: 2.2104905822753906 | Test Acc: 26.03999972343445%
Epoch: 5 | Epoch Time: 0m 48s
Train Loss: 2.168633085632324 | Train Acc: 30.022001266479492%
Test Loss: 2.167677992248535 | Test Acc: 30.59000074863434%
Epoch: 6 | Epoch Time: 0m 47s
Train Loss: 2.1263513290405274 | Train Acc: 32.2519987821579%
Test Loss: 2.124926422119141 | Test Acc: 32.35999941825867%
Epoch: 7 | Epoch Time: 0m 47s
Train Loss: 2.0775401873779296 | Train Acc: 33.19000005722046%
Test Loss: 2.075574024963379 | Test Acc: 33.21000039577484%
Epoch: 8 | Epoch Time: 0m 46s
Train Loss: 2.0335196685791015 | Train Acc: 33.49199891090393%
Test Loss: 2.030954818725586 | Test Acc: 33.7799996137619%
Epoch: 9 | Epoch Time: 0m 48s
Train Loss: 1.974245855102539 | Train Acc: 35.00800132751465%
Test Loss: 1.97175419921875 | Test Acc: 35.38999855518341%
Epoch: 10 | Epoch Time: 0m 48s
Train Loss: 1.9242686462402343 | Train Acc: 35.923999547958374%
Test Loss: 1.9216347930908204 | Test Acc: 36.3400012254715%
Epoch: 11 | Epoch Time: 0m 48s
Train Loss: 1.8744951132202148 | Train Acc: 36.64200007915497%
Test Loss: 1.8721250228881836 | Test Acc: 37.11000084877014%
Epoch: 12 | Epoch Time: 0m 48s
Train Loss: 1.8360648147583007 | Train Acc: 36.71000003814697%
Test Loss: 1.833544058227539 | Test Acc: 37.36000061035156%
Epoch: 13 | Epoch Time: 0m 48s
Train Loss: 1.80556369140625 | Train Acc: 36.421999335289%
Test Loss: 1.803088719177246 | Test Acc: 37.11999952793121%
Epoch: 14 | Epoch Time: 0m 47s
Train Loss: 1.768377557373047 | Train Acc: 37.54400014877319%
Test Loss: 1.766146742248535 | Test Acc: 38.1199985742569%
Epoch: 15 | Epoch Time: 0m 47s
Train Loss: 1.7395039889526367 | Train Acc: 38.10400068759918%
Test Loss: 1.73778740234375 | Test Acc: 38.62999975681305%
Epoch: 16 | Epoch Time: 0m 47s
Train Loss: 1.7163374102783202 | Train Acc: 38.7800008058548%
Test Loss: 1.715384552001953 | Test Acc: 38.960000872612%
Epoch: 17 | Epoch Time: 0m 48s
Train Loss: 1.7012541607666016 | Train Acc: 39.438000321388245%
Test Loss: 1.7013106979370116 | Test Acc: 40.0299996137619%
Epoch: 18 | Epoch Time: 0m 47s
Train Loss: 1.6794931784057616 | Train Acc: 39.743998646736145%
Test Loss: 1.6803491073608399 | Test Acc: 40.14999866485596%
Epoch: 19 | Epoch Time: 0m 47s
Train Loss: 1.6616100787353516 | Train Acc: 40.022000670433044%
Test Loss: 1.6639381286621093 | Test Acc: 40.25000035762787%
Epoch: 20 | Epoch Time: 0m 47s
Train Loss: 1.6425443148803711 | Train Acc: 40.59399962425232%
Test Loss: 1.646009649658203 | Test Acc: 40.75999855995178%
Epoch: 21 | Epoch Time: 0m 48s
Train Loss: 1.6396849298095704 | Train Acc: 40.738001465797424%
Test Loss: 1.645356330871582 | Test Acc: 40.92999994754791%
Epoch: 22 | Epoch Time: 0m 47s
Train Loss: 1.6272811737060546 | Train Acc: 41.255998611450195%
Test Loss: 1.634270817565918 | Test Acc: 41.47999882698059%
Epoch: 23 | Epoch Time: 0m 47s
Train Loss: 1.619280779724121 | Train Acc: 41.65799915790558%
Test Loss: 1.6281286865234375 | Test Acc: 41.769999265670776%
Epoch: 24 | Epoch Time: 0m 46s
Train Loss: 1.6203967529296874 | Train Acc: 41.88799858093262%
Test Loss: 1.6311127380371093 | Test Acc: 41.909998655319214%
Epoch: 25 | Epoch Time: 0m 56s
Train Loss: 1.637010785217285 | Train Acc: 41.29000008106232%
Test Loss: 1.6497844131469726 | Test Acc: 41.589999198913574%
Epoch: 26 | Epoch Time: 0m 55s
Train Loss: 1.6306310458374023 | Train Acc: 41.868001222610474%
Test Loss: 1.645624983215332 | Test Acc: 41.929998993873596%
Epoch: 27 | Epoch Time: 0m 48s
Train Loss: 1.6245428839111329 | Train Acc: 42.53599941730499%
Test Loss: 1.642010205078125 | Test Acc: 42.730000615119934%
Epoch: 28 | Epoch Time: 0m 49s
